id	name	name_en	name_zh-CN	name_zh-TW
80051	狂奔する怪鳥	Overwhelming Bird	狂奔怪鸟	狂奔怪鳥
80052	トクダイキノコ	Extra Large Mushroom	特大蘑菇	特大菌菇
80053	きょだいひつじ	Giant Sheep	巨大绵羊	巨大綿羊
80054	戦士の大鎧	Heavy Warrior Armor	战士的大铠	戰士的大鎧
80055	グランシェル	Grand Shell	巨大甲壳	偉大之殼
80056	カウントレスフィーラ	Countless Feelers	无数触手	無數觸手
80060	メタルぷにS	Metal Puni S	金属噗尼S	金屬噗尼S
80061	メタルぷにM	Metal Puni M	金属噗尼M	金屬噗尼M
80062	メタルぷにL	Metal Puni L	金属噗尼L	金屬噗尼L
80063	プラチナフラワーS	Platinum Flower S	白金花S	白金花朵S
80064	プラチナフラワーM	Platinum Flower M	白金花M	白金花朵M
80065	プラチナフラワーL	Platinum Flower L	白金花L	白金花朵L
80066	レッドパペットS	Red Puppet S	红人偶S	紅色傀儡S
80067	レッドパペットM	Red Puppet M	红人偶M	紅色傀儡M
80068	レッドパペットL	Red Puppet L	红人偶L	紅色傀儡L
80069	ブルーパペットS	Blue Puppet S	蓝人偶S	藍色傀儡S
80070	ブルーパペットM	Blue Puppet M	蓝人偶M	藍色傀儡M
80071	ブルーパペットL	Blue Puppet L	蓝人偶L	藍色傀儡L
80072	イエローパペットS	Yellow Puppet S	黄人偶S	黃色傀儡S
80073	イエローパペットM	Yellow Puppet M	黄人偶M	黃色傀儡M
80074	イエローパペットL	Yellow Puppet L	黄人偶L	黃色傀儡L
80075	グリーンパペットS	Green Puppet S	绿人偶S	綠色傀儡S
80076	グリーンパペットM	Green Puppet M	绿人偶M	綠色傀儡M
80077	グリーンパペットL	Green Puppet L	绿人偶L	綠色傀儡L
80078	パープルパペットS	Purple Puppet S	紫人偶S	紫色傀儡S
80079	パープルパペットM	Purple Puppet M	紫人偶M	紫色傀儡M
80080	パープルパペットL	Purple Puppet L	紫人偶L	紫色傀儡L
80081	プリズムシェルS	Prism Shell S	炫光甲壳S	稜晶之殼S
80082	プリズムシェルM	Prism Shell M	炫光甲壳M	稜晶之殼M
80083	プリズムシェルL	Prism Shell L	炫光甲壳L	稜晶之殼L
80084	戦士の大鎧	Heavy Warrior Armor	战士的大铠	戰士的大鎧
80085	闇を駆ける巨鳥	Colossal Night Bird	暗夜巨鸟	翱翔黑夜的巨鳥
80086	グロウスアポステル	Growth Aphostol	格洛斯使徒	葛洛斯使徒
80087	ハロウィンでかぷに	Halloween Big Puni	万圣节巨大噗尼	萬聖節巨大噗尼
80088	ハロウィンぷに	Halloween Puni	万圣节噗尼	萬聖節噗尼
80089	スケアファントム	Scare Phantom	骇人魅影	駭人魅影
80090	コロッサスゴーレム	Colossus Golem	巨像魔巨人	巨像魔巨人
80091	トート	Thoth	图特	圖特
80092	ルナリアエンゼル	Lunaria Angel	露娜莉亚天使	月光天使
80093	妖しき月輪	Peculiar Moon Ring	妖艳明月	妖異月輪
80096	クラストビートル	Cluster Beetle	地壳甲虫	地殼甲蟲
80097	花ぷに	Flower Puni	花噗尼	花噗尼
80098	スカーフバニー	Scarf Bunny	围巾兔	圍巾兔
80099	アッシュウール	Ashen Wool	灰毛绵羊	灰毛綿羊
80100	スポアドッグ	Spore Dog	孢子狗	孢子狗
80101	ダイナソー	Dinosaur	恐龙	恐龍
80102	マッシブビーク	Massive Beak	巨喙鸟	巨喙鳥
80103	クリスマスゴーレム	Christmas Golem	圣诞魔巨人	聖誕魔巨人
80104	キャリアー	Carrier	搬运者	負載
80105	メガキャリアー	Mega Carrier	巨大搬运者	巨大負載
80106	フェイタルブリード	Fatal Bleed	致命喋血兽	索命喋血
80107	ディープファントム	Deep Phantom	幽深魅影	幽深魅影
80108	エンシェントファントム	Ancient Phantom	上古魅影	遠古魅影
80109	黒兜	Black Shell	黑盔龟	黑盔
80110	ガーゴイル	Gargoyle	石像鬼	石像鬼
80111	ゴールドぷに	Gold Puni	金噗尼	金噗尼
80112	ゴールドでかぷに	Gold Big Puni	巨大金噗尼	巨大金噗尼
80113	ウェルテックス(本体)	Weltex (Body)	威尔特克斯（主体）	威爾特庫斯（本體）
80114	ウェルテックス(右腕)	Weltex (Right Arm)	威尔特克斯（右臂）	威爾特庫斯（右臂）
80115	ウェルテックス(左腕)	Weltex (Left Arm)	威尔特克斯（左臂）	威爾特庫斯（左臂）
80116	ミラージュリザード	Mirage Lizard	迷雾蜥蜴	迷霧蜥蜴
80117	クイーンスペクター	Queen Spectre	女王亡灵	女王亡靈
80118	ヒュージウォルフ	Huge Wolf	巨大野狼	巨狼
80119	氷花の精	Ice Flower Spirit	冰花精	冰花精
80120	氷結コオモリ	Frost Bat	冰冻蝙蝠	冰凍蝙蝠
80121	ホーント	Haunt	怨灵	怨靈
80122	ロックパペット	Rock Puppet	石傀儡	石傀儡
80123	ウォルフ	Wolf	野狼	野狼
80124	ゴールドでかぷに	Gold Big Puni	巨大金噗尼	巨大金噗尼
80125	ゴールドでかぷに	Gold Big Puni	巨大金噗尼	巨大金噗尼
80126	ゴールドでかぷに	Gold Big Puni	巨大金噗尼	巨大金噗尼
80127	ゴールドぷに	Gold Puni	金噗尼	金噗尼
80128	ゴールドぷに	Gold Puni	金噗尼	金噗尼
80129	ゴールドぷに	Gold Puni	金噗尼	金噗尼
80130	グレーターゴースト	Greater Ghost	刻刀鬼魂	削泥鬼魂
80131	闇の支配者	Dark Sovereign	黑暗支配者	黑暗支配者
80132	マジシャンハット	Magician Cap	魔术师帽	魔術師帽
80133	古の魔像	Ancient Magic Statue	古老魔像	古代魔像
80134	ウェルテックス(本体)	Weltex (Body)	威尔特克斯（主体）	威爾特庫斯（本體）
80135	ウェルテックス(右腕)	Weltex (Right Arm)	威尔特克斯（右臂）	威爾特庫斯（右臂）
80136	ウェルテックス(左腕)	Weltex (Left Arm)	威尔特克斯（左臂）	威爾特庫斯（左臂）
80137	エルダーフェアリー	Elder Fairy	年长妖精	妖精長老
80138	スクールナイト	School Knight	学院的骑士	學園騎士
80139	湯浴み精霊	Spring Spirit	泡温泉的精灵	入浴精靈
80140	歴戦のデザートラグーン	Battle-Scarred Desert Lagoon	身经百战的沙漠潟湖鲨	身經百戰的沙漠潟湖鯊
80141	クラギィシェル	Craggy Shell	岩壳兽	岩岩甲貝
80142	ファットドレイク	Stout Drake	大肚龙	大肚龍
80143	デビルホーン	Devil Horn	恶魔之角	惡魔之角
80144	貪欲なる妖魔	Covetous Devil	贪婪妖魔	貪婪妖魔
80145	漂う異端者	Wandering Pariah	漂浮异端	流浪的異端者
80146	ラージファング	Large Fang	巨牙蝙蝠	巨牙蝙蝠
80147	コオモリ女王	Bat Queen	蝙蝠女王	蝙蝠女王
80148	アンチュ	Antje	安洁	安潔
80149	ワルター	Walther	瓦尔特	瓦爾特
80150	旧苔纏いし翼竜	Ancient Moss-Covered Dragon	苔藓遍身的翼龙	遍布古苔的翼龍
80151	ジャイアントファング	Giant Fang	巨大利牙	巨怪利牙
80153	ヤクトウォルフ	Jagd Wolf	亚克托狼	亞克托狼
80156	ファニーフェイス	Funny Face	鬼脸	鬼臉
80157	ブラックリーパー	Black Reaper	黑色收割者	闇黑死神
80159	鴉	Crow	鸦	烏鴉
80160	ヘーレホルン	Höhlehorn	大洞角虫	地獄角獸
80161	オーバーイェーガー	Overjäger	超凡猎手	超量獵兵
80162	イケイケクロザカナ	Boisterous Blackfish	激昂黑鱼	威猛黑魚
80163	水着ゴーレム	Swimsuit Golem	泳装魔巨人	泳裝魔巨人
80164	融混の覇者	Master of Fusion	融混的霸主	融混霸者
80165	エルダーファング	Elder Fang	长老獠牙	長老獠牙
80166	フレンジービアード	Frenzied Beard	狂乱鬃毛	狂暴大鬍子
80167	トリッカー	Tricker	捣蛋鬼	搗蛋鬼
80168	クリムゾンアイ	Crimson Eye	猩红眼瞳	緋紅之眼
80169	ドライアド	Dryad	媚惑树精	媚惑樹精
80170	スレットヴェノム	Venomous Threat	凶毒	威脅劇毒
80171	真夏の青ぷに	Midsummer Blue Puni	盛夏的蓝噗尼	盛夏的藍噗尼
80172	真夏のでかぷに	Midsummer Big Puni	盛夏的巨大噗尼	盛夏的巨大噗尼
80173	[ビースト]ジェロン	[Beast] Geron	[野兽]杰隆	[野獸]傑隆
80174	クリセルダ	Criselda	克莉赛尔达	克莉賽爾達
80175	常闇の魔徒	Eternal Darkness Demon	永暗魔徒	永暗魔徒
80176	グロースディナハト	Großen Nacht	成长迪纳赫特	極惡夜魔
80177	アルバトロス	Albatross	信天翁	信天翁
80178	フェバストリア	Fevastoria	先知信天翁	短尾信天翁
80179	VER-IGNIS	WEL-IGNIS	WEL-IGNIS	WEL-IGNIS
80180	VER-GLACIES	WEL-GLACIES	WEL-GLACIES	WEL-GLACIES
80181	VER-TONITRUS	WEL-TONITRUS	WEL-TONITRUS	WEL-TONITRUS
80182	VER-VENTUS	WEL-VENTUS	WEL-VENTUS	WEL-VENTUS
80183	メタルゴーレム	Metal Golem	金属魔巨人	金屬魔巨人
80184	VER-PROTO	WEL-PROTO	WEL-PROTO	WEL-PROTO
80185	ヨハナ	Johanna	约翰娜	約翰娜
80186	ヴァレリア	Valeria	瓦莱莉娅	瓦萊莉婭
80187	グリフォニアン	Griffonian	狮鹫	獅鷲
80188	ドリームキャッチャー	Dreamcatcher	捕梦者	捕夢者
80189	ドリームイーター	Dreameater	食梦者	食夢者
80190	バーニングローズ	Burning Rose	烈焰玫瑰	烈焰玫瑰
80191	ダスクレイブン	Dusk Raven	薄暮乌鸦	薄暮烏鴉
80192	巨木兵	Big Tree Soldier	巨木兵	巨木兵
80193	悠久の守り手	Eternal Guardian	悠久守护者	悠久守護者
80194	[爆弾娘]マリー	[Bomberwoman] Marie	[炸弹女孩]玛莉	[炸彈女孩]瑪莉
80195	ミーケ	Mieke	米珂	米珂
80196	ディオーナ	Diona	蒂欧娜	蒂歐娜
80197	[嵐の風雲児]ユーディー	[Storm Prodigy] Judie	[暴风雨般的风云人物]优蒂	[暴風般的風雲人物]優蒂
80200	奈落の暴君	Abyssal Tyrant	地狱暴君	地獄暴君
80201	コズミックシェル	Cosmic Shell	宇宙壳	宇宙殼
80202	ブラックリーパー	Black Reaper	黑色收割者	闇黑死神
80203	テンタクルス	Tentacles	触手章鱼	觸手章魚
80204	島魚	Island Fish	岛鱼	島魚
80205	大白島	Great White Whale	大白岛	大白島
80206	[解放者]クリセルダ			
80207	クリスマスヒツジ			
80208	[解放者]クリセルダ			
80209	ラムローストくん1型	Ram Roast Mk. 1	烤羊肉1型	烤羊肉第1型
80210	鏡もちぷに			
80211	鏡もちでかぷに			
80212	ザスキア			
80213	シェルムガイスト			
80214	ポルターガイスト			
80215	リボンハット			
80216	チョコポッテリア			
80217	ミニチョコポッテリア			
80218	クヴァレルガ(本体)			
80219	クヴァレルガ(右腕)			
80220	クヴァレルガ(左腕)			
80221	クヴァレルガ子機			
80222	クヴァレルガ傀儡			
80223	クヴァレルガ(本体)			
90001	ルナリアエンゼル	Lunaria Angel	露娜莉亚天使	月光天使
90002	闇を駆ける巨鳥	Colossal Night Bird	暗夜巨鸟	翱翔黑夜的巨鳥
90003	マルシュホルン	Marshorn	腐毒角虫	腐毒角蟲
