id	name	name_en	name_zh-CN	name_zh-TW
275	練習しよう！	Time for Training!	来练习吧！	來練習吧！
276	ロマン大発表会？	Roman's Big Announcement?	罗曼的大发布会？	羅曼的大發表會？
277	事件発生	A Situation Arises	发生事件	發生事件
278	王子の交渉術	Prince's Negotiation Tactics	王子的交涉本领	王子的談判術
279	動き出す影	Shadows Stir	蠢蠢欲动的黑影	展開行動的身影
280	助っ人お姉さん	Help on the Way	帮手姐姐	幫手姊姊
281	急ぎましょう	Let's Hurry	事不宜迟	加快速度吧
282	王子の想い	The Prince's Feelings	王子的心绪	王子的心聲
283	脱兎のごとく	Like a Scared Rabbit	动如脱兔	動如脫兔
284	ざわめく採掘場跡	Stirring Old Mine	吵闹的采掘遗迹	喧鬧的挖掘場遺跡
285	王子の人徳	The Prince's Virtue	王子的人望	王子的品德
286	鴉の気配	Crow's Presence	鸦的气息	烏鴉的氣息
287	王国の歴史	The Kingdom's History	王国的历史	王國的歷史
288	追跡	In Pursuit	追踪	追蹤
289	逃げろ！	Run!	快逃！	快逃！
290	リヒャルト・ランターナ	Richard Lantarna	理查德·兰塔纳	理查德‧蘭塔納
291	膠着状態	Stalemate	胶着状态	膠著狀態
292	暴走トロッコ	Runaway Mine Cart	失控的矿车	暴走的礦車
293	みんな無事？	Is Everyone Okay?	大家都没事吧？	大家沒事吧？
294	リヒャルト殿下	Prince Richard	理查德殿下	理查德殿下
295	事後処理	The Aftermath	善后工作	善後處理
296	王子として	As a Prince	身为王子	身為王子
297	変わったこと、変わらないこと	What Changed, What Remained	变化之处、不变之处	改變的事及不變的事
298	タウンストーリー	Town Stories	城镇故事	城鎮故事
299	タウンストーリー	Town Stories	城镇故事	城鎮故事
300	タウンストーリー	Town Stories	城镇故事	城鎮故事
301	白夜の騎士ユナ	Juna, Knight of the Midnight Sun	白夜骑士尤娜	白夜騎士尤娜
302	王子と騎士	The Prince and the Knight	王子与骑士	王子與騎士
303	竜狩りの伝説	Legend of the Dragon Slayer	屠龙传说	獵龍傳說
304	ロジーの任務	Logy's Mission	罗吉的任务	羅吉的任務
305	兆候	Warning Signs	征兆	前兆
306	ロマンの受難	Roman's Cross	罗曼吃瘪	羅曼的苦難
307	雪国からの依頼	Request from the Snow Country	来自雪国的委托	來自雪國的委託
308	銀世界	Silver World	银装素裹的世界	銀色世界
309	民のため	For the People	为了民众	為了人民
310	その物語の前日譚	Prelude to That Tale	那个故事之前的故事	故事的前傳
311	雪深き土地	Land of Deep Snow	厚雪覆盖的土地	深雪之地
312	異常気象	Strange Weather	异常气候	異常氣候
313	北の民たち	People of the North	北方居民	北方人民
314	力を示せ	Show Your Strength	展示力量	展現力量
315	雪の中の襲撃	Ambush in the Snow	雪中袭击	雪中的襲擊
316	英雄の誉れ	Hero's Glory	英雄的威名	英雄的名譽
317	雪山を越えるために	Crossing the Snowy Mountain	为了跨越雪山	為了穿越雪山
318	緊急事態	Emergency Situation	紧急事态	緊急狀況
319	豪快な戦士	The Powerful Warrior	豪气的战士	豪邁的戰士
320	助っ人を探して	Searching for Backup	寻找帮手	尋找幫手
321	エスカとリンカ	Escha and Linca	爱丝卡与琳卡	愛絲卡與琳卡
322	頼れる同僚たち	Reliable Colleagues	可靠的同事们	值得信賴的同僚們
323	北の名物	Northern Wonders	北方名胜	北方名產
324	雪山の奥へ	To the Snowy Mountains' Depths	前往雪山深处	前往雪山深處
325	足りるかな？	Is It Enough?	够了吗？	足夠嗎？
326	リンカの腕やいかに	Linca's Skill	琳卡的真本事	琳卡的本領
327	リンカの任務	Linca's Mission	琳卡的任务	琳卡的任務
328	闇そのもの	Darkness Itself	黑暗本身	黑暗的代名詞
329	可哀そうに	A Shame	真可怜	讓人同情
330	最前線	The Frontline	最前线	最前線
331	騎士道とは	What is Chivalry	何谓骑士精神	何謂騎士道
332	頂獣……？	Apexi?	顶兽……？	頂獸……？
333	二人の英雄	Two Heroes	两名英雄	兩位英雄
334	守れたもの	What Was Protected	守护的成果	守住的事物
335	新たな懸念	New Concerns	新的忧虑	新的擔憂
336	騎士の休息	A Knight's Rest	骑士的休憩	騎士的休息
337	頂獣	Apexi	顶兽	頂獸
338	最後の記憶	Last Memory	最后的记忆	最後的記憶
339	９年前	Nine Years Ago	9年前	9年前
340	決起	Leaping into Action	奋起	奮起
341	絶好の機会	Best Chance	绝佳的机会	絕佳機會
342	得体の知れない力	A Mysterious Power	来路不明的力量	來歷不明的力量
343	クア州の海辺	The Kur Coast	库亚州的海边	庫厄州的海邊
344	通りすがりの錬金術士	A Passing Alchemist	路过的炼金术士	路過的鍊金術士
345	遠距離作戦	Long-Range Tactics	远距离作战	遠距離作戰
346	天を目指して	Shooting for the Sky	遥指天际	聳入雲霄
347	試験対策	Exam Prep	攻克课题	考試對策
348	力の使い道	The Path to Power	力量的用途	力量的用途
349	束の間の再会	A Brief Reunion	短暂的重逢	短暫的重逢
350	砦お披露目	Unveiling the Fortress	要塞亮相	要塞亮相
351	素材の声	The Materials' Voice	素材的声音	素材的聲音
352	いつかの練習	Practice Makes Perfect	尝试练习	為未來做練習
353	迎撃準備	Preparing to Intercept	迎击准备	迎擊準備
354	腹が減っては	An Empty Stomach	饿着肚子可不行	餓著肚子
355	名残	Traces	过去的习惯	遺痕
356	対抗手段	Countermeasures	对抗手段	對抗手段
357	ひと工夫	Fiddling	想方设法	小巧思
358	狙い撃ち	A Targeted Shot	精准爆破	鎖定目標
359	不思議な人	A Mysterious Person	神秘的人	不可思議的人
360	とっておきのご褒美	An Extra-Special Reward	特别的奖励	秘藏獎賞
361	黒い薔薇	Black Roses	黑蔷薇	黑色薔薇
362	ツテ	Connections	门路	門路
363	フロッケの決意	Flocke's Resolve	芙洛可的决心	芙洛可的決心
364	本気の忠告	A Serious Warning	发自内心的忠告	懇切的忠告
365	決戦前	Before the Decisive Battle	决战之前	決戰前
366	後押し	Support	支援	後援
367	脅威	The Threat	威胁	威脅
368	２つの知らせ	Two Updates	两个消息	兩個通知
369	打開の翼	Wings of Change	破局之翼	突破之翼
370	できることを	To the Best of Our Abilities	力所能及之事	盡己所能
371	もう１つの決意	Doubling Down	另一份决心	另一個決心
372	反撃開始	Launching the Counterattack	开始反击	反擊開始
373	一気呵成	One Burst	一气呵成	一氣呵成
374	守りたいもの	Things Worth Protecting	想要守护的事物	想守護的對象
375	残された者たち	Those Who Remain	被留下来的人们	被留下的人們
376	激昂	Fury	狂怒	激憤
377	相棒の役目	A Partner's Duty	搭档的职责	搭檔的任務
378	持ちつ持たれつ	Mutual Support	互相帮衬	互助互惠
379	安住の地	A Safe Place	安居之地	安心的居所
380	選んだ使命	A Chosen Duty	选择的使命	選擇的使命
381	一番頑張った日	The Toughest Day Ever	最努力的一天	最努力的一天
382	限界	Limits	极限	極限
383	その分も	Enough	加倍努力	連他們的份一起
384	拠りどころ	Foundations	仅有的信念	依靠
385	溢れる後悔	A Flood of Regrets	无尽的悔恨	滿溢的後悔
386	戦う術	A Way to Fight Back	战斗的能力	應戰的手段
387	最善の方法	The Best Method	最好的方法	最好的方法
388	恥じるよりも	Overcoming Shame	比起羞愧	與其慚愧
389	守り人たちの反逆	Rebelling Against the Guardians	守护者们的反叛	守護者們的反叛
390	黒色の傀儡	Shadowy Puppets	黑色傀儡	黑色傀儡
391	お返し	Returning the Favor	回敬	回敬
392	ひと筋の光明	A Ray of Light	一丝希望	一絲光明
393	次の作戦	The Next Strategy	下一次作战	下一個作戰
394	渇望の矛先	A Focused Desire	渴望之事	渴望的事
395	悔しさを糧に	Fueled by Regret	化不甘为食粮	將悔恨化為食糧
396	揺るぎない気持ち	Unwavering Feelings	坚定的想法	毫不動搖的心意
397	心当たり	Clues Emerging	头绪	頭緒
398	人事を尽くして	Every Effort Made	尽人事	盡人事
399	いち早く	As Fast as Possible	尽快	儘早
400	ウェルテックスの秘密	Weltex's Secret	威尔特克斯的秘密	威爾特庫斯的秘密
401	安静にしながら	Resting Yet Ready	静养的同时	靜養的同時
402	力を合わせて	United in Strength	齐心协力	同心協力
403	さらなる協力部隊	Additional Reinforcements	更多支援部队	更進一步的協力部隊
404	秘密兵器	Secret Weapon	秘密武器	秘密武器
405	真の姿	True Form	真正的姿态	真正的模樣
406	黒薔薇の反攻	The Black Rose Counterattack	黑蔷薇的反击	黑薔薇的反攻
407	とっておきの作戦	A Special Strategy	王牌作战	秘藏的作戰計畫
408	待っていた好機	The Opportune Moment	久等的良机	等待已久的良機
