id	name	name_en	name_zh-CN	name_zh-TW	fullname	fullname_en	fullname_zh-CN	fullname_zh-TW	another_name	another_name_en	another_name_zh-CN	another_name_zh-TW	description	description_en	description_zh-CN	description_zh-TW	acquisition_text	acquisition_text_en	acquisition_text_zh-CN	acquisition_text_zh-TW
15102	ユーディー	Judie	优蒂	優蒂	ユーディット・フォルトーネ	Judith Volltone	优蒂托·弗尔特	優蒂‧佛爾特	【Heroic Assault】	Heroic Assault	【Heroic Assault】	【Heroic Assault】	おっちょこちょいな錬金術士。 \nキースグリフと共に各地を巡り、「竜の砂時計」の情報を集めていた。 \nこの衣装は突撃と戦闘に特化して作られており、持ち前の決断力に任せて突っ走ってしまうこともある彼女を支えるものとなっている。	A clumsy alchemist who has been traveling with Keithgriff to gather information about the Dragon Hourglass. Her outfit is designed for frontal assault, supporting her as she charges into battle, relying on her innate ability to make quick decisions.	冒冒失失的炼金术士。\n曾和奇斯葛里夫一起去各地旅行，收集“龙之沙漏”的信息。\n此服装为突击和战斗做了特殊处理，能为依靠天生的判断力勇往直前的她提供支持。	粗枝大葉的鍊金術士。\n與奇斯葛里夫一起走訪各地，打聽「龍之沙漏」的消息。\n這套服裝專為突擊與戰鬥所設計，對於總是仰賴天生的決斷力勇往直前的她而言，這會成為一大助力。	あたしはへこたれない！\nこのくらいの逆境、跳ね返してみせる！	I won't give up! Whatever setbacks come my way, I'll flip them right around!	我不会泄气的！\n这点程度的逆境，我一定会克服的！	我才不會氣餒！\n這點程度的逆境，我一定會克服的！
16501	ヴィオラート	Viorate	薇欧拉	薇歐拉	ヴィオラート・プラターネ	Viorate Platane	薇欧拉·普拉塔	薇歐拉‧普拉塔	【カロッテ・キャロット】	Carrot-Lover from Karotte	【卡洛特·胡萝卜】	【卡洛特‧胡蘿蔔】	カロッテという村出身の錬金術士。\n故郷の名物でもあるニンジンが大好物。故郷のニンジンを栽培し、みんなに食べてもらおうとしている。\nニンジンに対するこだわりは強く、ニンジンのない生活などあり得ないと豪語するほど。	An alchemist from Karotte Village who loves carrots, her hometown's specialty. She grows carrots herself and is always trying to get people to eat more of them. She is very opinionated when it comes to carrots, insisting that one cannot live without them.	来自卡洛特村的炼金术士。\n最喜欢故乡特产的胡萝卜，试图栽培故乡的胡萝卜好让更多人有机会品尝。\n对胡萝卜异常执着，甚至宣称无法忍受没有胡萝卜的生活。	來自卡洛特村的鍊金術士。\n熱愛故鄉的特產胡蘿蔔，並想栽培讓眾人品嚐。\n對胡蘿蔔異常執著，甚至誇說生活中不能沒有胡蘿蔔。	ニンジンが１本、ニンジンが２本……\nあ、見つかっちゃった！　よろしくお願いします！	One carrot, two carrots...\nOh, hello! You found me!	一根胡萝卜，两根胡萝卜……\n啊，被发现了！请多多关照！	一根胡蘿蔔、兩根胡蘿蔔……\n啊，被發現了！請多多指教！
22001	ヴェイン	Vayne	维因	維因	ヴェイン・アウレオルス	Vayne Aurelius	维因·奥雷欧斯	維因‧奧雷歐斯	【願いを叶える力】	The Power to Grant Wishes	【实现愿望的力量】	【實現心願的力量】	錬金術を学ぶ学園の生徒。\n学園生活を経て自分を見つめ直し、今は自分がやりたいことを探して旅をしている。\n物静かで人が好い性格のためか、厄介ごとに巻き込まれやすい。昔は人付き合いが苦手だったが、学友たちと過ごすうちに改善されてきた。	A student of the alchemy Academy.\nThrough his time at the Academy, he has reevaluated himself and is now on a journey to find what he wants to do.\nQuiet and perhaps a bit too kind-hearted, he sometimes gets caught up in the problems of others. He used to be shy around people but was able to open up with the help of his schoolmates.	炼金术学园的学生。\n在学园生活中重新审视自己后，踏上了寻找自己目标的旅途。\n或许是性格内向又心地善良的缘故，经常被卷入麻烦事中。过去不擅交际，但在与同窗的相处之下逐渐得到改善。	學習鍊金術的學園生。\n藉由學園生活重新審視自己，現在為尋找今後想做的事情而踏上旅程。\n也許是因為個性文靜善良，容易被捲入麻煩之中。過去不善與人交際，但在和同學們相處的過程中逐漸得到了改善。	僕で役に立つなら……\nううん、役に立ってみせるよ	If I can be of use...\nNo, I'm sure I can pull my weight.	如果我能帮上忙的话……\n不，我会努力帮上忙的。	如果我能幫得上忙……\n不，我會幫上忙的。
23501	ロゼ	Raze	罗杰	羅傑	ロゼリュクス・マイツェン	Razeluxe Meitzen	罗杰路克斯·麦臣	羅傑路克斯‧麥臣	【光の剣】	Sword of Light	【光之剑】	【光之劍】	寡黙でぶっきらぼうな錬金術士。\n元は名家のお嬢様に仕えていたが、自由の身になった今は自分のやりたいことを探すため旅をしている。\n愛想は悪いが意外と面倒見は良い。幼い頃から祖父に剣術を叩き込まれたため、戦いの腕は確か。	A reserved and direct alchemist.\nHe used to serve a young lady of a prominent family, but now that he is free, he is on a journey for self-discovery.\nDespite seeming unfriendly, he is surprisingly good at taking care of others. He is a capable fighter thanks to the sword skills his grandfather drilled into him at an early age.	沉默寡言、外表冷漠的炼金术士。\n曾是名门千金小姐的侍从，现已恢复自由之身，踏上了寻找自己目标的旅途。\n虽然性格冷淡，却意外地很会照顾人。自幼受到祖父的剑术指导，在战斗方面的实力毋庸置疑。	沉默寡言，態度冷漠的鍊金術士。\n曾經服侍名門望族的小姐，成為自由之身後為尋找自己想做的事情而踏上旅程。\n雖然個性冷淡，卻意外地照顧他人。自幼便得祖父傳授劍術，因此在戰鬥方面的實力無庸置疑。	やれやれ……また面倒なことになった。\n悪いが、俺も連れて行ってくれ	Sheesh, things aren't lookin' up for me again.\nSorry, but I'm going to need to tag along.	哎呀呀……事情又变得棘手了。\n麻烦你带我一起走吧。	哎呀呀……事情又變得麻煩了。\n不好意思，也帶上我吧。
25501	ロロナ	Rorona	萝乐娜	蘿樂娜	ロロライナ・フリクセル	Rorolina Frixell	萝乐莱娜·菲立克塞尔	蘿樂萊娜‧菲立克塞爾	【五ツ星パイマイスター】	5-Star Pie Meister	【五星级烤派大师】	【五星級製派大師】	明るく元気な錬金術士。\nパイ作りに並々ならぬこだわりがあり、パイで人々を魅了するために日々研鑽を重ねている。\nちょっとドジで天然なところもあるが、前向きで一生懸命。	A bright and energetic alchemist.\nShe has an extraordinary passion for making pies, and is constantly working on her skills so that she can delight people with her pies.\nShe's a bit clumsy and can be air-headed, but she has a positive outlook and works hard.	开朗活泼的炼金术士。\n对烤派有着非同寻常的执着，日以继夜地埋头钻研，试图用派的魅力征服众人。\n爱犯迷糊，有点少根筋，但是性格积极向上，做事不遗余力。	活潑開朗的鍊金術士。\n對派的烘製異常地執著，為了讓派的魅力感動更多的人，每天持續地苦心鑽研。\n有時會表現出迷糊且少根筋的一面，但積極樂觀且勤奮努力。	新しいパイが作れるかも！\nぜひ、わたしも連れていってください――！	I might be able to make a new assortment of pies for you!\nPlease take me along with you!	说不定能做出新的派！\n请务必带我同行——！	說不定能做出新的派！\n請務必帶我一起去──！
25502	ロロナ	Rorona	萝乐娜	蘿樂娜	ロロライナ・フリクセル	Rorolina Frixell	萝乐莱娜·菲立克塞尔	蘿樂萊娜‧菲立克塞爾	【フォーリンホワイト】	Falling Snow	【天降纯白】	【天降雪白】	明るく元気な錬金術士。\n珍しく雪の積もった王都に出かけるため、いつもより暖かい服に身を包んだ。\n自分に似合うか不安に思いつつも、普段と違う雰囲気に心を躍らせている。特にふわふわの帽子がお気に入り。	A bright and energetic alchemist. Headed to an unusually snowy capital, she's bundled up in warmer clothes than usual. While she's a bit worried about whether it suits her, she's still excited about the change in style. She's particularly fond of the fluffy hat.	开朗活泼的炼金术士。\n为了在王都罕见的积雪天前去游玩，她穿上了比平时更暖和的服装。\n尽管担心衣服适不适合自己，但同时也为不同于往常的风格感到兴奋。她尤其喜欢这顶毛茸茸的帽子。	既開朗又有活力的鍊金術士。\n由於王都罕見地下了雪，於是穿得比平常還要厚重。\n儘管有點擔心是否適合自己，卻又對與平常截然不同的氛圍感到興奮。特別喜歡蓬鬆柔軟的帽子。	えへへ、少し雰囲気を変えてみたんです。\nそれじゃ早速、行きましょう！	Ehehe, I tried changing up my style a bit! Let's get going!	嘿嘿，我试着换了种风格。\n那我们快走吧！	嘿嘿，我嘗試了不同風格的穿搭。\n那我們就趕緊出發吧！
25503	ロロナ	Rorona	萝乐娜	蘿樂娜	ロロライナ・フリクセル	Rorolina Frixell	萝乐莱娜·菲立克塞尔	蘿樂萊娜‧菲立克塞爾	【Joyful Leader】	Joyful Leader	【Joyful Leader】	【Joyful Leader】	ランターナ学園、錬金術科の２年生。\nクラスの委員長を務めている。\n真面目で優しく、困っていたり問題があったりする生徒を放っておけない。\n委員長らしくしっかり者であろうとしているが、時折天然な部分を発揮してしまう。	A second-year alchemy student at Lantarna Academy who serves as the class president. She's sincere, kind, and can't say no to a student in need. She tries to do it all and live up to her class president role, but her airheaded side peeks out from time to time.	兰塔纳学院炼金术科2年级。\n担任班长一职。\n性格认真温柔，不会忽视有心事的同学以及问题学生。\n身为班长，她努力做到认真负责，但也有时候会做出少根筋似的举动。	蘭塔納學園的鍊金術科二年級生，目前擔任班長。\n個性認真又體貼，無法對有煩惱或問題的學生視而不見。\n雖然有盡可能表現出身為班長可靠的一面，\n但偶爾會有點少根筋。	ようこそランターナ学園へ！\n一緒に、清く正しい学園生活を送ろうね！	Welcome to Lantarna Academy! Let's all behave and enjoy school life together!	欢迎来到兰塔纳学院！\n让我们一起度过健康向上的学园生活吧！	歡迎來到蘭塔納學園！\n讓我們一起度過正直清廉的校園生活吧！
25504	ロロナ	Rorona	萝乐娜	蘿樂娜	ロロライナ・フリクセル	Rorolina Frixell	萝乐莱娜·菲立克塞尔	蘿樂萊娜‧菲立克塞爾	【Sweetie Rabbit】	Sweetie Rabbit	【Sweetie Rabbit】	【Sweetie Rabbit】	明るく元気な錬金術士。\n錬金術が好きで、パイに対しても強いこだわりを持っている。\n錬金党との戦いに向け、機能的かつ頑丈に作られたこの衣装に身を包み、マリーと共に爆弾を調合する。\n爆弾調合の際も、彼女ならではの斬新な発想で周囲を驚かせている。	A bright and energetic alchemist. She loves alchemy and is very particular when it comes to pies. She is wearing a functional and sturdy outfit as she works alongside Marie to synthesize bombs in preparation for the battle with the Polar Night Alchemists. Even while synthesizing bombs, her unique ideas never fail to surprise those around her.	开朗活泼的炼金术士。\n喜欢炼金术，对派也有着精益求精的追求。\n身穿面向与炼金党的战斗而制作的兼备功能性与坚韧度的服装，和玛莉一同调合炸弹。\n调合炸弹时，她独特的新奇想法让众人瞠目结舌。	性格開朗有活力的鍊金術士。\n喜歡鍊金術，對派也十分講究。\n為了迎戰鍊金黨，穿上這身設計得既實用又質地結實的服裝，與瑪莉一起調合炸彈。\n調合炸彈時，她也會發揮獨特又新穎的創意，讓周遭的人驚訝不已。	戦う準備はできてるよ！\n錬金術士ロロナ、頑張りまーす！	Ready for battle! Rorona the alchemist, prepared to give it my all!	已经做好战斗准备了哦！\n炼金术士萝乐娜，会加油的～！	已經做好應戰準備囉！\n鍊金術士蘿樂娜會加油的～！
25601	クーデリア	Cordelia	库蝶莉亚	庫蝶莉亞	クーデリア・フォン・フォイエルバッハ	Cordelia von Feuerbach	库蝶莉亚·冯·费尔巴哈	庫蝶莉亞‧馮‧費爾巴哈	【貴族令嬢】	Noblewoman	【贵族千金】	【貴族千金】	素直になれない貴族令嬢。\n錬金術士のロロナの幼馴染で、何かと彼女のことを気にかけ、世話を焼いている。\n気が強く怒りっぽいが、厳しい態度は愛情の裏返し。背が低いことを気にしており、身長の話題に触れるのはタブー。	A noblewoman who finds it hard to talk about her feelings. She often worries about her childhood friend, the alchemist Rorona, and tries to take care of her. Though short-tempered, her brusque demeanor belies a loving heart. She is self-conscious about her small size and hates discussing her height.	无法坦率表达自己的贵族千金。\n是炼金术士萝乐娜的童年玩伴，对她关心有加，总是处处照顾她。\n性格强势易怒，但严厉的态度也是一种爱的表现。很介意自己个子矮，万万不可和她谈论身高。	個性彆扭的貴族千金。\n是鍊金術士蘿樂娜的兒時玩伴，對她非常關心，總是處處照顧著她。\n個性強勢易怒，但嚴厲的態度即愛情的表現。很在意自己的身材矮小，因此嚴禁在她面前談論身高的話題。	ったく、世話が焼けるわね。\nそんなに不安なら、ついてってあげるわよ	You're startin' to cheese me off.\nFine, I'll come along if you're that anxious.	唉，真叫人操心。\n看你这么紧张，本小姐可以屈尊陪你去啦。	真是的，就會給人添麻煩。\n既然你這麼擔心，我就跟你一起去吧。
25801	イクセル	Iksel	伊克赛尔	伊克賽爾	イクセル・ヤーン	Iksel Jahnn	伊克赛尔·杨	伊克賽爾‧楊	【戦う料理人】	Fighting Chef	【战斗厨师】	【戰鬥的廚師】	熱血漢な料理人。\n王都のカフェで厨房を任されている。料理で使う愛用のフライパンは、時に魔物を倒す武器となる。\nよくドジを踏む幼馴染のロロナのフォローに回っていることが多い。\n面倒見はいいが負けず嫌いなところもあり、勝負ごとになると熱くなる。	A passionate chef.\nHe is in charge of the kitchen at a cafe in the royal capital. His favorite frying pan, which he uses for cooking, at times doubles as a weapon against monsters.\nHe often accompanied his childhood friend, the alchemist Rorona, on her gathering expeditions, helping her out whenever she messed things up. He has a mature disposition but hates to lose and can become heated in competitions.	热血男儿的厨师。\n在王都的咖啡厅负责厨房的事宜。制作料理时爱用的平底锅，有时也会用来当作武器料理魔物。\n经常给冒失的青梅竹马萝乐娜收拾烂摊子。\n很会照顾人，同时也有着争强好胜的一面，遇到关乎输赢的事情容易激动。	熱血男兒的料理人。\n在王都的咖啡館擔任廚房工作。製作料理時愛用的平底鍋，時而會成為擊倒魔物的武器。\n善於照顧他人，卻也有些好勝，只要遇到關乎輸贏的場合，就會充滿幹勁。	いい食材ってのは、自分の目と足で\n探すもんだからな。さあ、行こうぜ！	The best ingredients are the ones you seek out yourself.\nOnward to good eats!	优质的食材，是要亲眼寻找、\n亲自去搜集的。走，我们出发吧！	好的食材就是要靠自己的眼睛和雙腳去找尋。\n來，我們走吧！
25901	ステルク	Sterk	史特尔克	史特爾克	ステルケンブルク・クラナッハ	Sterkenburg Cranach	史特尔肯布鲁克·库拉哈	史特爾肯布魯克‧庫拉哈	【気高き剣士】	Noble Swordsman	【崇高的剑士】	【高雅劍士】	苦労人な元騎士。\nかつてはアーランドという国に仕えていた。騎士という身分ではなくなった今も、騎士らしくありたいという信念の元、護衛や魔物退治といった仕事をこなしている。\n真面目な性格だが、不器用で口数が少ないため怖い人だと思われがち。	A hardworking former knight who once served the country of Arland. Although he no longer holds the title of knight, he continues to live by his knightly principles, taking on roles such as bodyguard and monster slayer. He's serious and dedicated, but his awkwardness and quiet nature often make people think he is more intimidating than he really is.	受苦受累的前骑士。\n曾效命于一个叫做亚兰德的国家。即便身份已经不再是骑士，他仍然坚守信念保持骑士的作风，做着护卫和驱除魔物一类的工作。\n性格很认真，但因为口拙和寡言，总是被当成可怕的人。	歷經風霜的前騎士。\n曾效命於名叫亞蘭德的國家。即便失去了騎士身分，仍自發性地恪守騎士精神，執行著護衛與消滅魔物的工作。\n雖然處事認真，其沉默寡言的性格卻讓他經常被誤會成恐怖的人。				
