id	description	description_en	description_zh-CN	description_zh-TW	popup_text	popup_text_en	popup_text_zh-CN	popup_text_zh-TW
3000018	ブレイカーへのダメージバフ{0}%アップ	Boosts effects of damage buffs to Breakers by {0}%.	对破坏者的伤害增益提升{0}%。	對破壞者的傷害增益上升{0}%。				
3000019	突属性ダメージ耐性{0}%アップ	Boosts Stab damage resistance by {0}%.	突刺属性伤害耐性提升{0}%。	突屬性傷害耐性上升{0}%。				
3000020	斬属性ダメージ耐性{0}%アップ	Boosts Slash damage resistance by {0}%.	斩击属性伤害耐性提升{0}%。	斬屬性傷害耐性上升{0}%。				
3000021	打属性ダメージ耐性{0}%アップ	Boosts Strike damage resistance by {0}%.	打击属性伤害耐性提升{0}%。	打屬性傷害耐性上升{0}%。				
3000022	火属性ダメージ耐性{0}%アップ	Boosts Fire damage resistance by {0}%.	火属性伤害耐性提升{0}%。	火屬性傷害耐性上升{0}%。				
3000023	氷属性ダメージ耐性{0}%アップ	Boosts Ice damage resistance by {0}%.	冰属性伤害耐性提升{0}%。	冰屬性傷害耐性上升{0}%。				
3000024	雷属性ダメージ耐性{0}%アップ	Boosts Bolt damage resistance by {0}%.	雷属性伤害耐性提升{0}%。	雷屬性傷害耐性上升{0}%。				
3000025	風属性ダメージ耐性{0}%アップ	Boosts Air damage resistance by {0}%.	风属性伤害耐性提升{0}%。	風屬性傷害耐性上升{0}%。				
3000026	物理属性ダメージ耐性{0}%アップ	Boosts physical damage resistance by {0}%.	物理属性伤害耐性提升{0}%。	物理屬性傷害耐性上升{0}%。				
3000027	魔法属性ダメージ耐性{0}%アップ	Boosts magic damage resistance by {0}%.	魔法属性伤害耐性提升{0}%。	魔法屬性傷害耐性上升{0}%。				
3000028	対象が与える「物理被ダメージダウン」と「魔法被ダメージダウン」の効果量{0}%アップ	Boosts potency of Received Physical Damage Down and Received Magic Damage Down applied by {0}%.	目标给予的“所受物理伤害下降”和“所受魔法伤害下降”的效果量提升{0}%。	目標賦予的「所受物理傷害下降」與「所受魔法傷害下降」的效果量上升{0}%。				
3000029	対象がディフェンダーへ与える「物理被ダメージダウン」と「魔法被ダメージダウン」の効果量{0}%アップ	Boosts potency of Received Physical Damage Down and Received Magic Damage Down given to Defenders by {0}%.	目标给予防御者的“所受物理伤害下降”和“所受魔法伤害下降”的效果量提升{0}%。	目標賦予防禦者的「所受物理傷害下降」與「所受魔法傷害下降」的效果量上升{0}%。				
3000030	対象が与える「物理被ダメージアップ」と「魔法被ダメージアップ」の効果量{0}%アップ	Boosts potency of Received Physical Damage Up and Received Magic Damage Up applied by {0}%.	目标给予的“所受物理伤害提升”和“所受魔法伤害提升”的效果量提升{0}%。	目標賦予的「所受物理傷害上升」與「所受魔法傷害上升」的效果量上升{0}%。				
3000031	HP回復量{0}%アップ	Boosts recovery given by {0}%.	恢复量提升{0}%。	回復量上升{0}%。				
3000032	単体回復時の回復量{0}%アップ	Boosts single recovery by {0}%.	单体恢复时的恢复量提升{0}%。	單體回復時的回復量上升{0}%。				
3000033	ディフェンダーの物理属性ダメージ耐性{0}%アップ	Boosts effects of physical damage resistance to Defenders by {0}%.	防御者的物理属性伤害耐性提升{0}%。	防禦者的物理屬性傷害耐性上升{0}%。				
3000034	ディフェンダーの魔法属性ダメージ耐性{0}%アップ	Boosts effects of magic damage resistance to Defenders by {0}%.	防御者的魔法属性伤害耐性提升{0}%。	防禦者的魔法屬性傷害耐性上升{0}%。				
3000035	突属性ダメージ耐性を{0}%低下させる	Reduces Stab damage resistance by {0}%.	突刺属性伤害耐性下降{0}%。	使突屬性傷害耐性下降{0}%。				
3000036	斬属性ダメージ耐性を{0}%低下させる	Reduces Slash damage resistance by {0}%.	斩击属性伤害耐性下降{0}%。	使斬屬性傷害耐性下降{0}%。				
3000037	打属性ダメージ耐性を{0}%低下させる	Reduces Fire damage resistance by {0}%.	火属性伤害耐性下降{0}%。	使火屬性傷害耐性下降{0}%。				
3000038	火属性ダメージ耐性を{0}%低下させる	Reduces Fire damage resistance by {0}%.	火属性伤害耐性下降{0}%。	使火屬性傷害耐性下降{0}%。				
3000039	氷属性ダメージ耐性を{0}%低下させる	Reduces Ice damage resistance by {0}%.	冰属性伤害耐性下降{0}%。	使冰屬性傷害耐性下降{0}%。				
3000040	雷属性ダメージ耐性を{0}%低下させる	Reduces Bolt damage resistance by {0}%.	雷属性伤害耐性下降{0}%。	使雷屬性傷害耐性下降{0}%。				
3000041	風属性ダメージ耐性を{0}%低下させる	Reduces Air damage resistance by {0}%.	风属性伤害耐性下降{0}%。	使風屬性傷害耐性下降{0}%。				
3000042	対象に「受ける物理攻撃のダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts physical damage target receives by {0}% for 1 attack.	赋予目标“所受物理攻击伤害提升{0}%”，受到1次攻击后失效。	賦予目標「所受物理攻擊傷害上升{0}%」，直到受1次攻擊為止。				
3000043	対象に「受ける魔法攻撃のダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts magic damage target receives by {0}% for 1 attack.	赋予目标“所受魔法攻击伤害提升{0}%”，受到1次攻击后失效。	賦予目標「所受魔法攻擊傷害上升{0}%」，直到受1次攻擊為止。				
3000044	クリティカル確率{0}％アップ	Boosts critical rate by {0}%.	暴击率提升{0}%。	重擊機率上升{0}%。				
3000045	「クリティカル確率{0}%アップ」を1回行動終了するまで付与	Boosts critical rate by {0}% for 1 turn.	赋予“暴击率提升{0}%”，1次行动结束后失效。	賦予「重擊率上升{0}%」，直到行動結束1次為止。				
3000046	「物理属性ダメージ{0}%アップ」を1回行動終了するまで付与	Boosts physical damage by {0}% for 1 turn.	赋予“物理属性伤害提升{0}%”，1次行动结束后失效。	賦予「物理屬性傷害上升{0}%」，直到行動結束1次為止。				
3000047	対象に「受ける物理攻撃のダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts physical damage target receives by {0}% for 1 attack.	赋予目标“所受物理攻击伤害提升{0}%”，受到1次攻击后失效。	賦予目標「所受物理攻擊傷害上升{0}%」，直到受1次攻擊為止。				
3000048	「魔法属性ダメージ{0}%アップ」を1回行動終了するまで付与	Boosts magic damage by {0}% for 1 turn.	赋予“魔法属性伤害提升{0}%”，1次行动结束后失效。	賦予「魔法屬性傷害上升{0}%」，直到行動結束1次為止。				
3000049	対象に「受ける魔法攻撃のダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts magic damage target receives by {0}% for 1 attack.	赋予目标“所受魔法攻击伤害提升{0}%”，受到1次攻击后失效。	賦予目標「所受魔法攻擊傷害上升{0}%」，直到受1次攻擊為止。				
3000050	「物防{0}%アップ」を1回攻撃されるまで付与	Boosts P. DEF by {0}% for 1 attack.	赋予“物防提升{0}%”，受到1次攻击后失效。	賦予「物防上升{0}%」，直到被攻擊1次為止。				
3000051	「魔防{0}%アップ」を1回攻撃されるまで付与	Boosts M. DEF by {0}% for 1 attack.	赋予“魔防提升{0}%”，受到1次攻击后失效。	賦予「魔防上升{0}%」，直到被攻擊1次為止。				
3000052	火属性のダメージ{0}%アップ	Boosts Fire damage by {0}%.	火属性的伤害提升{0}%。	火屬性傷害上升{0}%。				
3000053	氷属性のダメージ{0}%アップ	Boosts Ice damage by {0}%.	冰属性的伤害提升{0}%。	冰屬性傷害上升{0}%。				
3000054	雷属性のダメージ{0}%アップ	Boosts Bolt damage by {0}%.	雷属性的伤害提升{0}%。	雷屬性傷害上升{0}%。				
3000055	風属性のダメージ{0}%アップ	Boosts Air damage by {0}%.	风属性的伤害提升{0}%。	風屬性傷害上升{0}%。				
3000056	斬属性のダメージ{0}%アップ	Boosts Slash damage by {0}%.	斩击属性的伤害提升{0}%。	斬屬性傷害上升{0}%。				
3000057	打属性のダメージ{0}%アップ	Boosts Strike damage by {0}%.	打击属性的伤害提升{0}%。	打屬性傷害上升{0}%。				
3000058	突属性のダメージ{0}%アップ	Boosts Stab damage by {0}%.	突刺属性的伤害提升{0}%。	突屬性傷害上升{0}%。				
3000059	対象に「火属性耐性{0}%ダウン」を1回攻撃を受けるまで付与	Reduces target's Fire resistance by {0}% for 1 attack.	赋予目标“火属性耐性下降{0}%”，受到1次攻击后失效。	賦予目標「火屬性耐性下降{0}%」，直到受1次攻擊為止。				
3000060	対象に「氷属性耐性{0}%ダウン」を1回攻撃を受けるまで付与	Reduces target's Ice resistance by {0}% for 1 attack.	赋予目标“冰属性耐性下降{0}%”，受到1次攻击后失效。	賦予目標「冰屬性耐性下降{0}%」，直到受1次攻擊為止。				
3000061	対象に「雷属性耐性{0}%ダウン」を1回攻撃を受けるまで付与	Reduces target's Bolt resistance by {0}% for 1 attack.	赋予目标“雷属性耐性下降{0}%”，受到1次攻击后失效。	賦予目標「雷屬性耐性下降{0}%」，直到受1次攻擊為止。				
3000062	対象に「風属性耐性{0}%ダウン」を1回攻撃を受けるまで付与	Reduces target's Air resistance by {0}% for 1 attack.	赋予目标“风属性耐性下降{0}%”，受到1次攻击后失效。	賦予目標「風屬性耐性下降{0}%」，直到受1次攻擊為止。				
3000063	対象に「斬属性耐性{0}%ダウン」を1回攻撃を受けるまで付与	Reduces target's Slash resistance by {0}% for 1 attack.	赋予目标“斩击属性耐性下降{0}%”，受到1次攻击后失效。	賦予目標「斬屬性耐性下降{0}%」，直到受1次攻擊為止。				
3000064	対象に「打属性耐性{0}%ダウン」を1回攻撃を受けるまで付与	Reduces target's Strike resistance by {0}% for 1 attack.	赋予目标“打击属性耐性下降{0}%”，受到1次攻击后失效。	賦予目標「打屬性耐性下降{0}%」，直到受1次攻擊為止。				
3000065	対象に「突属性耐性{0}%ダウン」を1回攻撃を受けるまで付与	Reduces target's Stab resistance by {0}% for 1 attack.	赋予目标“突刺属性耐性下降{0}%”，受到1次攻击后失效。	賦予目標「突屬性耐性下降{0}%」，直到受1次攻擊為止。				
3000066	対象に「火属性耐性{0}%アップ」を1回攻撃を受けるまで付与	Boosts target's Fire resistance by {0}% for 1 attack.	赋予目标“火属性耐性提升{0}%”，受到1次攻击后失效。	賦予目標「火屬性耐性上升{0}%」，直到受1次攻擊為止。				
3000067	対象に「氷属性耐性{0}%アップ」を1回攻撃を受けるまで付与	Boosts target's Ice resistance by {0}% for 1 attack.	赋予目标“冰属性耐性提升{0}%”，受到1次攻击后失效。	賦予目標「冰屬性耐性上升{0}%」，直到受1次攻擊為止。				
3000068	対象に「雷属性耐性{0}%アップ」を1回攻撃を受けるまで付与	Boosts target's Bolt resistance by {0}% for 1 attack.	赋予目标“雷属性耐性提升{0}%”，受到1次攻击后失效。	賦予目標「雷屬性耐性上升{0}%」，直到受1次攻擊為止。				
3000069	対象に「風属性耐性{0}%アップ」を1回攻撃を受けるまで付与	Boosts target's Air resistance by {0}% for 1 attack.	赋予目标“风属性耐性提升{0}%”，受到1次攻击后失效。	賦予目標「風屬性耐性上升{0}%」，直到受1次攻擊為止。				
3000070	対象に「斬属性耐性{0}%アップ」を1回攻撃を受けるまで付与	Boosts target's Slash resistance by {0}% for 1 attack.	赋予目标“斩击属性耐性提升{0}%”，受到1次攻击后失效。	賦予目標「斬屬性耐性上升{0}%」，直到受1次攻擊為止。				
3000071	対象に「打属性耐性{0}%アップ」を1回攻撃を受けるまで付与	Boosts target's Strike resistance by {0}% for 1 attack.	赋予目标“打击属性耐性提升{0}%”，受到1次攻击后失效。	賦予目標「打屬性耐性上升{0}%」，直到受1次攻擊為止。				
3000072	対象に「突属性耐性{0}%アップ」を1回攻撃を受けるまで付与	Boosts target's Stab resistance by {0}% for 1 attack.	赋予目标“突刺属性耐性提升{0}%”，受到1次攻击后失效。	賦予目標「突屬性耐性上升{0}%」，直到受1次攻擊為止。				
3000073	単体回復が与えるHP回復量{0}%アップ	Boosts HP recovery given to a single ally by {0}%.	单体恢复给予的HP恢复量提升{0}%。	單體回復時賦予的HP回復量上升{0}%。				
3000074	全体回復が与えるHP回復量{0}%アップ	Boosts HP recovery given to all allies by {0}%.	全体恢复给予的HP恢复量提升{0}%。	全體回復時賦予的HP回復量上升{0}%。				
3000075	与えるHP回復量{0}%アップ	Boosts HP recovery given by {0}%.	给予的HP恢复量提升{0}%。	賦予HP回復量上升{0}%。				
3000076	ディフェンダーへの回復量{0}%アップ	Boosts recovery for Defenders by {0}%.	对防御者的恢复量提升{0}%。	對防禦者的回復量上升{0}%。				
3000077	ブレイク中の敵へのダメージ{0}%アップ	Boosts damage to stunned enemies by {0}%.	对破防状态敌人造成的伤害提升{0}%。	對破防狀態的敵人傷害上升{0}%。				
3000078	戦闘アイテムが与えるダメージ{0}%アップ	Boosts damage of battle items by {0}%.	战斗道具造成的伤害提升{0}%。	戰鬥道具賦予的傷害上升{0}%。				
3000079	ぷに種族に与えるダメージ{0}%アップ	Boosts damage to Puni enemies by {0}%.	对噗尼种族造成的伤害提升{0}%。	給予噗尼種族的傷害上升{0}%。				
3000080	獣種族に与えるダメージ{0}%アップ	Boosts damage to Beast enemies by {0}%.	对野兽种族造成的伤害提升{0}%。	給予獸類種族的傷害上升{0}%。				
3000081	鳥種族に与えるダメージ{0}%アップ	Boosts damage to Bird enemies by {0}%.	对鸟种族造成的伤害提升{0}%。	給予鳥類種族的傷害上升{0}%。				
3000082	精霊種族に与えるダメージ{0}%アップ	Boosts damage to Spirit enemies by {0}%.	对精灵种族造成的伤害提升{0}%。	給予精靈種族的傷害上升{0}%。				
3000083	水棲種族に与えるダメージ{0}%アップ	Boosts damage to Aquatic enemies by {0}%.	对水生种族造成的伤害提升{0}%。	給予水棲種族的傷害上升{0}%。				
3000084	対象にぷに種族から受けるダメージ{0}%ダウンを付与(1回)	Reduces damage received by target from Puni enemies by {0}%. (1 turn)	赋予对象来自噗尼种族的伤害下降{0}%（1次）。	賦予目標來自噗尼種族的傷害下降{0}%（1次）。				
3000085	対象に獣種族から受けるダメージ{0}%ダウンを付与(1回)	Reduces damage received by target from Beast enemies by {0}%. (1 turn)	赋予对象来自野兽种族的伤害下降{0}%（1次）。	賦予目標來自獸類種族的傷害下降{0}%（1次）。				
3000086	対象に鳥種族から受けるダメージ{0}%ダウンを付与(1回)	Reduces damage received by target from Bird enemies by {0}%. (1 turn)	赋予对象来自鸟种族的伤害下降{0}%（1次）。	賦予目標來自鳥類種族的傷害下降{0}%（1次）。				
3000087	対象に精霊種族から受けるダメージ{0}%ダウンを付与(1回)	Reduces damage received by target from Spirit enemies by {0}%. (1 turn)	赋予对象来自精灵种族的伤害下降{0}%（1次）。	賦予目標來自精靈種族的傷害下降{0}%（1次）。				
3000088	対象に水棲種族から受けるダメージ{0}%ダウンを付与(1回)	Reduces damage received by target from Aquatic enemies by {0}%. (1 turn)	赋予对象来自水生种族的伤害下降{0}%（1次）。	賦予目標來自水棲種族的傷害下降{0}%（1次）。				
3000089	対象に「ぷに種族から受けるダメージ{0}%ダウン」を1回攻撃を受けるまで付与	Reduces damage received by target from Puni enemies by {0}% for 1 attack.	赋予目标“来自噗尼种族的伤害下降{0}%”，受到1次攻击后失效。	賦予目標「來自噗尼種族的傷害下降{0}%」，直到受1次攻擊為止。				
3000090	対象に「獣種族から受けるダメージ{0}%ダウン」を1回攻撃を受けるまで付与	Reduces damage received by target from Beast enemies by {0}% for 1 attack.	赋予目标“来自野兽种族的伤害下降{0}%”，受到1次攻击后失效。	賦予目標「來自獸類種族的傷害下降{0}%」，直到受1次攻擊為止。				
3000091	対象に「鳥種族から受けるダメージ{0}%ダウン」を1回攻撃を受けるまで付与	Reduces damage received by target from Bird enemies by {0}% for 1 attack.	赋予目标“来自鸟种族的伤害下降{0}%”，受到1次攻击后失效。	賦予目標「來自鳥類種族的傷害下降{0}%」，直到受1次攻擊為止。				
3000092	対象に「精霊種族から受けるダメージ{0}%ダウン」を1回攻撃を受けるまで付与	Reduces damage received by target from Spirit enemies by {0}% for 1 attack.	赋予目标“来自精灵种族的伤害下降{0}%”，受到1次攻击后失效。	賦予目標「來自精靈種族的傷害下降{0}%」，直到受1次攻擊為止。				
3000093	対象に「水棲種族から受けるダメージ{0}%ダウン」を1回攻撃を受けるまで付与	Reduces damage received by target from Aquatic enemies by {0}% for 1 attack.	赋予目标“来自水生种族的伤害下降{0}%”，受到1次攻击后失效。	賦予目標「來自水棲種族的傷害下降{0}%」，直到受1次攻擊為止。				
3000094	対象に「ぷに種族が受けるダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts damage to Puni enemies by {0}% for 1 attack.	赋予目标“来自噗尼种族的伤害提升{0}%”，受到1次攻击后失效。	賦予目標「噗尼種族所受傷害上升{0}%」，直到受1次攻擊為止。				
3000095	対象に「獣種族が受けるダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts damage to Beast enemies by {0}% for 1 attack.	赋予目标“来自野兽种族的伤害提升{0}%”，受到1次攻击后失效。	賦予目標「獸類種族所受傷害上升{0}%」，直到受1次攻擊為止。				
3000096	対象に「鳥種族が受けるダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts damage to Bird enemies by {0}% for 1 attack.	赋予目标“来自鸟种族的伤害提升{0}%”，受到1次攻击后失效。	賦予目標「鳥類種族所受傷害上升{0}%」，直到受1次攻擊為止。				
3000097	対象に「精霊種族が受けるダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts damage to Spirit enemies by {0}% for 1 attack.	赋予目标“来自精灵种族的伤害提升{0}%”，受到1次攻击后失效。	賦予目標「精靈種族所受傷害上升{0}%」，直到受1次攻擊為止。				
3000098	対象に「水棲種族が受けるダメージ{0}%アップ」を1回攻撃を受けるまで付与	Boosts damage to Aquatic enemies by {0}% for 1 attack.	赋予目标“来自水生种族的伤害提升{0}%”，受到1次攻击后失效。	賦予目標「水棲種族所受傷害上升{0}%」，直到受1次攻擊為止。				
3000099	HPが50%以下の時、与える魔法属性ダメージ{0}%アップ	Boosts dealt magic damage by {0}% when HP is 50% or lower.	HP不高于50%时，造成的魔法属性伤害提升{0}%。	HP在50%以下時，給予的魔法屬性傷害上升{0}%。				
3000100	HPが最大の時、与える魔法属性ダメージ{0}%アップ	Boosts dealt magic damage by {0}% when at full HP.	HP为最大值时，造成的魔法属性伤害提升{0}%。	HP為最大值時，給予的魔法屬性傷害上升{0}%。				
3000101	HPが50%以下の時、与える物理属性ダメージ{0}%アップ	Boosts dealt physical damage by {0}% when HP is 50% or lower.	HP不高于50%时，造成的物理属性伤害提升{0}%。	HP在50%以下時，給予的物理屬性傷害上升{0}%。				
3000102	HPが最大の時、与える物理属性ダメージ{0}%アップ	Boosts dealt physical damage by {0}% when at full HP.	HP为最大值时，造成的物理属性伤害提升{0}%。	HP為最大值時，給予的物理屬性傷害上升{0}%。				
3000103	HPが50%以下の時、ダメージ耐性{0}%アップ	Boosts damage resistance by {0}% when HP is 50% or lower.	HP不高于50%时，伤害耐性提升{0}%。	HP在50%以下時，傷害耐性上升{0}%。				
3000104	HPが最大の時、魔法属性ダメージ耐性{0}%アップ	Boosts magic damage resistance by {0}% when at full HP.	HP为最大值时，魔法属性伤害耐性提升{0}%。	HP為最大值時，魔法屬性傷害耐性上升{0}%。				
3000105	HPが最大の時、物理属性ダメージ耐性{0}%アップ	Boosts physical damage resistance by {0}% when at full HP.	HP为最大值时，物理属性伤害耐性提升{0}%。	HP為最大值時，物理屬性傷害耐性上升{0}%。				
3000106	HPが最大の時、HP回復量{0}%アップ	Boosts recovery given by {0}% when at full HP.	HP为最大值时，恢复量提升{0}%。	HP為最大值時，回復量上升{0}%。				
3000107	HPが50%以下の時、HP回復量{0}%アップ	Boosts recovery given by {0}% when HP is 50% or lower.	HP不高于50%时，恢复量提升{0}%。	HP在50%以下時，回復量上升{0}%。				
3000108	使用回数が1回の時、ダメージ{0}%アップ	Boosts damage by {0}% on final use.	使用次数为1次时，伤害提升{0}%。	使用次數為1次時，傷害上升{0}%。				
3000109	使用回数が1回の時、HP回復量{0}%アップ	Boosts HP recovery by {0}% on final use.	使用次数为1次时，HP恢复量提升{0}%。	使用次數為1次時，HP回復量上升{0}%。				
3000110	全体攻撃のスキル威力{0}％アップ	Boosts skill power by {0}% on attacks that hit all enemies.	全体攻击的技能威力提升{0}%。	全體攻擊的技能威力上升{0}％。				
3000111	単体攻撃のスキル威力{0}％アップ	Boosts skill power of single-target attacks by {0}%.	单体攻击的技能威力提升{0}%。	單體攻擊的技能威力上升{0}％。				
3000112	全体攻撃で受けるダメージ{0}％ダウン	Reduces received damage by {0}% from attacks that hit all enemies.	所受全体攻击伤害下降{0}%。	全體攻擊的所受傷害下降{0}％。				
3000113	被ブレイクダメージを{}%上昇させる	Reduces stun damage received by {}%.	所受破防伤害提升{}%。	使所受破防傷害上升{}%。				
3000114	プラス効果を{}%上昇させる	Boosts positive effects by {}%.	正面效果提升{}%。	使加强效果上升{}%。				
3000115								
3000116	マイナス効果を{}%上昇させる	Boosts negative effects by {}%.	负面效果提升{}%。	使減弱效果上升{}%。				
3000165	バーストスキル威力{0}%アップ	Boosts burst skill power by {0}%.	爆发技能威力提升{0}%。	爆發技能威力上升{0}%。				
3000168	スキル2威力{0}%アップ	Boosts Skill 2 power by {0}%.	技能2威力提升{0}%。	技能2威力上升{0}%。				
3000203	鳥種族に与えるブレイクダメージ{0}%アップ	Boosts stun damage to Bird enemies by {0}%.	对鸟种族造成的破防伤害提升{0}%。	給予鳥類種族的破防傷害上升{0}%。				
3000211	対象が与える「雷属性耐性ダウン」の効果量{0}%アップ	Boosts potency of Bolt Resistance Down applied by {0}%.	目标给予的“雷属性耐性下降”的效果量提升{0}%。	目標賦予的「雷屬性耐性下降」的效果量上升{0}%。				
3000212	対象が与える「氷属性耐性ダウン」の効果量{0}%アップ	Boosts potency of Ice Resistance Down applied by {0}%.	目标给予的“冰属性耐性下降”的效果量提升{0}%。	目標賦予的「冰屬性耐性下降」的效果量上升{0}%。				
3000213	WEAK攻撃時、ブレイクダメージ{0}%アップ	Boosts stun damage by {0}% when attacking a weakness.	发动WEAK攻击时，破防伤害提升{0}%。	WEAK攻擊時，破防傷害上升{0}%。				
3000225	対象が与える「火属性耐性ダウン」の効果量{0}%アップ	Boosts potency of Fire Resistance Down applied by {0}%.	目标给予的“火属性耐性下降”的效果量提升{0}%。	目標賦予的「火屬性耐性下降」的效果量上升{0}%。				
3000232	対象が与える「突属性耐性ダウン」の効果量{0}%アップ	Boosts potency of Stab Resistance Down applied by {0}%.	目标给予的“突刺属性耐性下降”的效果量提升{0}%。	目標賦予的「突屬性耐性下降」的效果量上升{0}%。				
3000240	雷スキル威力{0}%アップ							
3000244	氷スキル威力{0}%アップ							
3000246	風スキル威力{0}%アップ							
3000321	斬スキル威力{0}%アップ							
3000322	打スキル威力{0}%アップ							
3000323	突スキル威力{0}%アップ							
3000324	火スキル威力{0}%アップ							
3000325	対象が与える「斬属性耐性ダウン」の効果量{0}%アップ							
3000326	対象が与える「打属性耐性ダウン」の効果量{0}%アップ							
3000327	対象が与える「風属性耐性ダウン」の効果量{0}%アップ							
4000003	次のターン終了時まで敵全体の風耐性を10%減少させる	Reduces Air resistance for all enemies by 10% until the end of the next turn.	敌方全体的风耐性减少10%，持续到下一回合结束。	直至下一回合結束時，使敵方全體的風耐性減少10%。				
4000004	次のターン終了時まで敵全体の火耐性を10%減少させる	Reduces Fire resistance for all enemies by 10% until the end of the next turn.	敌方全体的火耐性减少10%，持续到下一回合结束。	直至下一回合結束時，使敵方全體的火耐性減少10%。				
4000005	次のターン終了時まで敵全体の氷耐性を10%減少させる	Reduces Ice resistance for all enemies by 10% until the end of the next turn.	敌方全体的冰耐性减少10%，持续到下一回合结束。	直至下一回合結束時，使敵方全體的冰耐性減少10%。				
4000006	次のターン終了時まで敵全体の雷耐性を10%減少させる	Reduces Bolt resistance for all enemies by 10% until the end of the next turn.	敌方全体的雷耐性减少10%，持续到下一回合结束。	直至下一回合結束時，使敵方全體的雷耐性減少10%。				
4000007	次のターン終了時まで味方全体の風スキルダメージ+10%	Boosts Air skill damage for all allies by 10% until the end of the next turn.	我方全体的风技能伤害+10%，持续到下一回合结束。	直至下一回合結束時，我方全體的風技能傷害+10%。				
4000008	次のターン終了時まで味方全体の火スキルダメージ+10%	Boosts Fire skill damage for all allies by 10% until the end of the next turn.	我方全体的火技能伤害+10%，持续到下一回合结束。	直至下一回合結束時，我方全體的火技能傷害+10%。				
4000009	次のターン終了時まで味方全体の氷スキルダメージ+10%	Boosts Ice skill damage for all allies by 10% until the end of the next turn.	我方全体的冰技能伤害+10%，持续到下一回合结束。	直至下一回合結束時，我方全體的冰技能傷害+10%。				
4000010	次のターン終了時まで味方全体の雷スキルダメージ+10%	Boosts Bolt skill damage for all allies by 10% until the end of the next turn.	我方全体的雷技能伤害+10%，持续到下一回合结束。	直至下一回合結束時，我方全體的雷技能傷害+10%。				
4000011	敵全体に、2回被弾するまで魔法攻撃スキルダメージ+10%	Boosts magic skill damage to all enemies by 10% for 2 attacks.	使敌方全体魔法攻击技能伤害+10%，受到2次攻击后失效。	對敵方全體的魔法攻擊技能傷害+10%，直到被擊中2次為止。				
