id	description	description_en	description_zh-CN	description_zh-TW
10044003	・行動するたびに挑発\n・HPが一定に達すると、自身の与ダメージ上昇、被ダメージ上昇\n・HPが一定に達すると、自身のHP回復\n・HPが一定に達すると、挑発\n・麻痺＋パネルから付与される効果を無効	- Taunts with each turn\n- Boosts own damage dealt and receives increased damage when HP reaches a certain level\n- Restores own HP when HP reaches a certain level\n- Taunts when HP reaches a certain level\n- Nullifies effects of Paralysis+ panels	·每次行动时挑衅\n·HP达到一定值后，自身造成伤害提升，所受伤害提升\n·HP达到一定值后，恢复自身HP\n·HP达到一定值后，挑衅\n·麻痹+面板所赋予的效果无效	‧每次行動時挑釁\n‧HP達一定值時，自身給予傷害上升，所受傷害上升\n‧HP達一定值時，回復自身HP\n‧HP達一定值時，挑釁\n‧使被麻痺+面板賦予的效果無效
10044004	・行動するたび、相手に挑発を付与\n・仲間を回復	- Inflicts Taunt on opponents each turn.\n- Heals allies	·每次行动时赋予对手挑衅\n·为友方恢复	‧每次行動時，賦予對象挑釁\n‧回復夥伴
10045001	・HPが一定に達すると、複数のプラス効果が発生\n・HPが一定に達すると、複数のパネルが出現\n・麻痺＋パネルから付与される効果を無効	- Gains multiple positive effects when HP reaches a certain level\n- Multiple panels appear when HP reaches a certain level\n- Nullifies effects of Paralysis+ panels	·HP达到一定值后，触发多个正面效果\n·HP达到一定值后，生成多个面板\n·麻痹+面板所赋予的效果无效	‧HP達一定值時，發生複數加強效果\n‧HP達一定值時，出現複數面板\n‧使被麻痺+面板賦予的效果無效
10045003	・麻痺パネルを出現させる\n・仲間を回復	- Increases appearance of Paralysis Panels\n- Heals allies	·生成麻痹面板\n·为友方恢复	‧使麻痺面板出現\n‧回復夥伴
10045005	・HPが一定に達すると、複数のプラス効果が発生\n・HPが一定に達すると、複数のパネルが出現\n・麻痺＋パネルから付与される効果を無効\n・仲間を回復	- Gains multiple positive effects when HP reaches a certain level\n- Multiple panels appear when HP reaches a certain level\n- Nullifies effects of Paralysis+ panels\n- Heals allies	·HP达到一定值后触发多个正面效果\n·HP到达一定值后生成多个面板\n·麻痹+面板所赋予的效果无效\n·为友方恢复	‧HP達一定值時，發生複數加強效果\n‧HP達一定值時，出現複數面板\n‧使被麻痺+面板賦予的效果無效\n‧回復夥伴
10046001	・行動後、自身に与ダメージUPを付与\n・暗闇を付与	- After turn, boosts own damage dealt\n- Inflicts Blindness	·行动后赋予自身造成伤害提升\n·赋予盲目状态	‧行動後，賦予自身給予傷害上升\n‧賦予盲目
10048001	・毒を付与\n・ブレイク時、与ダメージUPを付与	- Inflicts Poison\n- When stunned, boosts damage dealt	·赋予中毒\n·自身破防时，赋予造成伤害提升	‧賦予中毒\n‧自身破防時，賦予給予傷害上升
10049001	・ヒントはありません			
10052001	・カウンター\n・毒を付与\n・仲間に再生を付与\n・相手全員に回復無効を付与			
10055001	・ブレイク中、被ダメージ上昇\n・行動するたび、自身のマイナス効果を解除\n・自身へダメージ無効を付与	- Received damage is increased while stunned\n- Removes own negative effects each turn\n- Gains Damage Immunity	·破防中所受伤害提升\n·每次行动时，解除自身负面效果\n·赋予对自身伤害无效	‧破防時，所受傷害上升\n‧每次行動時，解除自身的減弱效果\n‧賦予自身傷害無效
10056001	・カウンター\n・強力な全体攻撃\n・毒攻撃\n・プラス効果無効を付与\n・状態異常に対し与ダメージ上昇	- Counters\n- Deals significant damage to all targets\n- Poisonous attack\n- Inflicts Nullify Positive Effects\n- Dealt damage is increased against targets with status effects	·还击\n·强力的全体攻击\n·中毒攻击\n·赋予正面效果无效\n·对异常状态造成伤害提升	‧還擊\n‧強力的全體攻擊\n‧中毒攻擊\n‧賦予加強效果無效\n‧面對異常狀態，給予傷害上升
10066001	・マイナス効果を持つ相手に対し、与ダメージ上昇	- Dealt damage is increased against targets with negative effects	·对带有负面效果的对手造成伤害提升	‧面對具有減弱效果的對象，給予傷害上升
10067001	・マイナス効果を持つ相手に対し、与ダメージ上昇	- Dealt damage is increased against targets with negative effects	·对带有负面效果的对手造成伤害提升	‧面對具有減弱效果的對象，給予傷害上升
10069001	・行動するたび、HPを回復\n・ブレイク時、被ダメージ上昇\n・挑発を付与	- Restores HP per turn\n- Receives increased damage when stunned\n- Inflicts Taunt on target	·每次行动时恢复HP\n·破防时，所受伤害提升\n·赋予对象挑衅	‧每次行動時回復HP\n‧破防時，所受傷害上升\n‧賦予目標挑釁
10072002	・ブレイク時、自身のプラス効果を解除\n・ブレイク時、自身の被ダメージ上昇	- Removes own positive effects when stunned\n- Receives increased damage when stunned	·破防时，解除自身正面效果\n·破防时，自身所受伤害提升	‧破防時，解除自身的加強效果\n‧破防時，自身的所受傷害上升
10073002	・ブレイク中、被ダメージ上昇\n・ブレイク時、自身のプラス効果を解除	- Received damage is increased while stunned\n- Removes own positive effects when stunned	·破防中所受伤害提升\n·破防时，解除自身正面效果	‧破防時，所受傷害上升\n‧破防時，解除自身的加強效果
10075001	・ブレイク時、プラス効果を解除\n・ブレイク時、自身に素早さDOWNを付与	- Remove positive effects when stunned\n- Reduces own SPD when stunned	·破防时，解除正面效果\n·破防时，赋予自身敏捷下降	‧破防時，解除加強效果\n‧破防時，賦予自身敏捷下降
10078001	・毒攻撃\n・状態異常の敵に対し、与ダメージ上昇\n・マイナス効果を持つ相手に対し、与ダメージ上昇	- Poisonous attack\n- Dealt damage is increased against enemies with status effects\n- Dealt damage is increased against opponents with negative effects	·中毒攻击\n·对异常状态的敌人造成伤害提升\n·对带有负面效果的对手造成伤害提升	‧毒攻擊\n‧面對異常狀態的敵人，給予傷害上升\n‧使具有減弱效果的對象給予傷害上升
10078002	・状態異常の敵に対し、与ダメージ上昇\n・マイナス効果を持つ相手に対し、与ダメージ上昇\n・毒を付与	- Dealt damage is increased against enemies with status effects\n- Dealt damage is increased against targets with negative effects\n- Inflicts Poison	·对异常状态的敌人造成伤害提升\n·对带有负面效果的对手造成伤害提升\n·赋予中毒	‧面對異常狀態的敵人，給予傷害上升\n‧面對具有減弱效果的對象，給予傷害上升\n‧賦予中毒
10079003	・状態異常の相手に対し、与ダメージ上昇\n・マイナス効果を持つ相手に対し、与ダメージ上昇\n・仲間を回復\n・毒を付与	- Dealt damage is increased against opponents with status effects\n- Dealt damage is increased against targets with negative effects\n- Heals allies\n- Inflicts Poison	·对异常状态的敌人造成伤害提升\n·对带有负面效果的对手造成伤害提升\n·为友方恢复\n·赋予中毒	‧面對異常狀態的對象，給予傷害上升\n‧面對具有減弱效果的對象，給予傷害上升\n‧回復夥伴\n‧賦予中毒
10079004	・状態異常の相手に対し、与ダメージ上昇\n・マイナス効果を持つ相手に対し、与ダメージ上昇\n・毒を付与	- Dealt damage is increased against opponents with status effects\n- Dealt damage is increased against opponents with negative effects\n- Inflicts Poison	·对异常状态的敌人造成伤害提升\n·对带有负面效果的敌人造成伤害提升\n·赋予中毒	‧面對異常狀態的對象，給予傷害上升\n‧使具有減弱效果的對象給予傷害上升\n‧賦予中毒
10081002	・挑発\n・行動するたび、HP回復\n・行動するたび、ブレイクダメージ回復	- Taunts\n- Recovers HP with each turn\n- Recovers stun damage with each turn	·挑衅\n·每次行动时，恢复HP\n·每次行动时，恢复破防伤害	‧挑釁\n‧每次行動時，回復HP\n‧每次行動時，回復破防傷害
10081007	・挑発を付与\n・強力な攻撃を使用\n・行動するたび、自身のHPとブレイクダメージを回復	- Inflicts Taunt on target\n- Attacks with a powerful attack\n- Restores HP & stun damage each turn	·赋予对象挑衅\n·使用强力的攻击\n·每次行动时，恢复HP和破防伤害	‧賦予目標挑釁\n‧使用強力的攻擊\n‧每次行動時，回復HP和破防傷害
10084001	・かばう\n・カウンター\n・行動するたび、自身のブレイクゲージを回復\n・HPが一定に達すると、攻撃を受けた後、自身に複数のプラス効果を付与	- Protection\n- Counters\n- Restores own stun gauge each turn\n- Grants self multiple positive effects after being hit by an attack when HP reaches a certain level	·掩护\n·还击\n·每次行动时，恢复自身的破防槽\n·HP达到一定值后，受到攻击后，赋予自身多个正面效果	‧守護\n‧還擊\n‧每次行動時，回復自身的破防量表\n‧HP達一定值時，受到攻擊後，賦予自身複數個加強效果
10086001	・魔法攻撃を受けた後、自身に受ける回復量DOWNを付与\n・物理攻撃を受けた後、自身に受けるマイナス効果量UPを付与\n・HPが一定に達すると、複数のプラス効果が発生	- After being hit by a magic attack, reduces own recovery received\n- After being hit by a physical attack, boosts potency of own received negative effects\n- Gains multiple positive effects when HP reaches a certain level	·受到魔法攻击后，赋予自身所受恢复量下降\n·受到物理攻击后，赋予自身所受负面效果量提升\n·HP达到一定值后，触发多个正面效果	‧受到魔法攻擊後，賦予自身所受回復量下降\n‧受到物理攻擊後，賦予自身所受減弱效果量上升\n‧HP達一定值時，發生複數加強效果
10089001	・毒攻撃\n・カウンター	- Poisonous attack\n- Counters	·中毒攻击\n·还击	‧中毒攻擊\n‧還擊
10089002	・毒を付与\n・カウンター	- Inflicts Poison\n- Counters	·赋予中毒\n·还击	‧賦予中毒\n‧還擊
10091001	・ウェーブ開始時、自身に被ダメージDOWN付与\n・プラス効果の種類数に応じてバースト威力上昇\n・仲間全体を回避状態にする\n・仲間全体を回復			
10091002	・仲間全体に回避を付与\n・仲間全体を回復			
10092001	・バトル開始時、自身に被ダメージDOWNを付与\n・HPが一定に達すると、自身に複数の効果を付与し、HPを回復\n・火傷を確率で付与\n・相手全員に回復無効を付与\n・相手全員に被回復量DOWNを付与\n・仲間を回復			
10093001	・挑発を付与\n・麻痺を付与	- Inflicts Taunt on target\n- Inflicts Paralysis	·赋予对象挑衅\n·赋予麻痹状态	‧賦予目標挑釁\n‧賦予麻痺
10097001	・戦闘不能時、相手全員に与ダメージDOWNを付与\n・戦闘不能時、相手全員に被ダメージUPを付与\n・ターンを遅らせる\n・仲間を回復	- When KO'd, reduces all opponents' damage dealt\n- When KO'd, boosts all opponents' damage received\n- Delays turn\n- Heals allies	·无法战斗时，赋予对手全体造成伤害下降\n·无法战斗时，赋予对手全体所受伤害提升\n·推迟回合\n·恢复友方	‧無法戰鬥時，賦予全體對象給予傷害下降\n‧無法戰鬥時，賦予全體對象所受傷害上升\n‧推遲行動回合\n‧回復夥伴
10099004	・マイナス効果を持つ相手の手番を遅らせる\n・相手のプラス効果を解除\n・プラス効果無効を付与	- Delays turn of opponents with negative effects\n- Nullifies opponents' positive effects\n- Inflicts Nullify Positive Effects	·推迟带有负面效果对手的回合\n·解除对手的正面效果\n·赋予正面效果无效	‧使具有減弱效果的對象延遲行動回合\n‧解除對象的加強效果\n‧賦予加強效果無效
10099005	・マイナス効果を持つ相手のターンを遅らせる\n・相手のプラス効果を解除\n・プラス効果無効を付与	- Delays turn of opponents with negative effects\n- Nullifies opponents' positive effects\n- Inflicts Nullify Positive Effects	·推迟带有负面效果对手的回合\n·解除对手的正面效果\n·赋予正面效果无效	‧使具有減弱效果的對象延遲行動回合\n‧解除對象的加強效果\n‧賦予加強效果無效
10100011	・マイナス効果を持つ相手に対し、与ダメージ上昇\n・相手に受けるマイナス効果量UPを付与\n・仲間に再生を付与	- Dealt damage is increased against opponents with negative effects\n- Boosts potency of negative effects on opponents\n- Grants Regen to allies	·对带有负面效果的对手造成伤害提升\n·赋予对手所受负面效果量提升\n·赋予友方再生	‧使具有減弱效果的對象給予傷害上升\n‧賦予對象所受減弱效果量上升\n‧賦予夥伴再生
10100014	・マイナス効果を持つ相手に対し、与ダメージ上昇\n・受けるマイナス効果量UPを付与\n・仲間全体を回復し、再生を付与	- Dealt damage is increased against targets with negative effects\n- Boosts potency of own received negative effects\n- Heals allies and grants Regen to allies	·对带有负面效果的对手造成伤害提升\n·赋予自身所受负面效果量提升\n·恢复友方，赋予友方再生	‧面對具有減弱效果的對象，給予傷害上升\n‧賦予自身所受減弱效果量上升\n‧回復夥伴，並賦予再生
10100018	・バトル開始時、自身にマイナス効果を持つ相手への与ダメージUPを付与\n・マイナス効果を持つ相手に対し、与ダメージ上昇\n・仲間全体を回復し、再生を付与			
10101003	・かばう\n・物理攻撃を受けた時、相手に与ダメージDOWNを付与\n・HPが一定に達すると、自身に与ダメージUPを付与\n・自身に物理ダメージ無効を付与	- Protection\n- When hit by a physical attack, reduces opponent's damage dealt\n- Boosts own damage dealt when HP reaches a certain level\n- Grants self Physical Damage Immunity	·掩护\n·受到物理攻击时，赋予对方造成攻击下降\n·HP到达一定值后，赋予自身造成伤害提升\n·赋予自身物理伤害无效	‧守護\n‧受到物理攻擊時，賦予對象給予傷害下降\n‧HP達一定值時，賦予自身給予傷害上升\n‧賦予自身物理傷害無效
10104005	・自身を回復\n・自身にプラス効果が付与されている時、弱体パネルを強化パネルへ変更	- Heals self\n- If a positive effect is active on self, converts weaken panels into boost panels	·为自身恢复\n·自身被赋予正面效果时，削弱面板变换为强化面板	‧回復自身\n‧自身被賦予加強效果時，將弱化面板變更為強化面板
10104007	・自身にプラス効果が付与されている場合、ターン開始前に弱体パネルを強化パネルへ変更\n・自身を回復	- Before turn, if a positive effect is active on self, converts weaken panels into boost panels\n- Heals self	·自身存在正面效果时，回合开始前削弱面板变换为强化面板\n·为自身恢复	‧自身具有加強效果時，行動回合開始前將弱化面板變更為強化面板\n‧回復自身
10105001	・自身にプラス効果が2つ以上付与されている時、手番開始前に弱体パネルを強化パネルに変更\n・自身を回復	- If 2 or more positive effects are active on self, converts weaken panels to boost panels before the start of turn\n- Heals self	·自身带有不低于2个正面效果时，回合开始前把削弱面板变更为强化面板\n·恢复自身	‧自身被賦予2個以上的加強效果時，行動回合開始前，將弱化面板變更為強化面板\n‧回復自身
10107005	・ブレイクゲージが最大時に攻撃を受けた時、弱体パネルを強化パネルへ変更\n・ブレイクゲージが最大時に攻撃を受けた時、強化系パネルを弱体パネルへ変更\n・相手にマイナス効果が付与されている場合、ターンを遅らせる\n・プラス効果無効を付与	- When hit by an attack while stun gauge is full, converts weaken panels to boost panels\n- When hit by an attack while stun gauge is full, converts boost-type panels to weaken panels\n- Delays turn when opponent is inflicted with negative effects\n- Inflicts Nullify Positive Effects	·破防槽为最大值时，受到攻击时，削弱面板变换为强化面板\n·破防槽为最大值时，受到攻击时，强化类面板变换为削弱面板\n·对手被赋予负面效果时，推迟回合\n·赋予正面效果无效	‧破防量表為最大值且受到攻擊時，將弱化面板變更為強化面板\n‧破防量表為最大值且受到攻擊時，將強化系面板變更為弱化面板\n‧對象被賦予減弱效果時，推遲行動回合\n‧賦予加強效果無效
10110001	・仲間を回復し、与ダメージ上昇を付与\n・仲間全体に与ダメージ上昇を付与\n・仲間全体に被ダメージ低下を付与	- Heals allies and boosts damage dealt\n- Boosts all allies' damage dealt\n- Reduces all allies' damage received	·为友方恢复，赋予造成伤害提升\n·赋予友方全体造成伤害提升\n·赋予友方全体所受伤害下降	‧回復夥伴並賦予給予傷害上升\n‧賦予所有夥伴給予傷害上升\n‧賦予所有夥伴所受傷害下降
10110004	・仲間を回復し、与ダメージUPを付与\n・仲間に再生と被ダメージDOWNを付与\n・攻撃後、仲間全体に与ダメージUPを付与\n・攻撃後、仲間全体に被ダメージDOWNを付与	- Heals allies and boosts allies' damage dealt\n- Grants allies Regen, reduces allies' damage received\n- After attacking, boosts all allies' damage dealt\n- After attacking, reduces all allies' damage received	·恢复友方，赋予造成伤害提升\n·赋予友方再生及所受伤害下降\n·攻击后，赋予友方全体造成伤害提升\n·攻击后，赋予友方全体所受伤害下降	‧回復夥伴並賦予給予傷害上升\n‧賦予夥伴再生與所受傷害下降\n‧攻擊後，賦予所有夥伴給予傷害上升\n‧攻擊後，賦予所有夥伴所受傷害下降
10110005	・仲間を回復\n・仲間に再生を付与	- Heals allies\n- Grants Regen to allies	·为友方恢复\n·赋予友方再生	‧回復夥伴\n‧賦予夥伴再生
10118001	・状態異常を付与された時、自身に与ダメージDOWNと被ダメージUPを付与\n・味方のターンを早める	- Reduces own damage dealt and boosts own damage received while inflicted with a status effect\n- Advances allies' turns	·被赋予异常状态时，赋予自身造成伤害下降和所受伤害提升\n·加快友方回合	‧被賦予異常狀態時，賦予自身給予傷害下降與所受傷害上升\n‧加快夥伴的行動回合
10119001	・クリティカル攻撃を受けた時、強化パネルを出現させる\n・仲間のHPとブレイクゲージを回復	- Creates boost panels when hit by a critical attack\n- Restores allies' HP and stun gauge	·受到暴击时，生成强化面板\n·恢复友方的HP和破防槽	‧受到重擊攻擊時，使強化面板出現\n‧回復夥伴的HP與破防量表
10119002	・クリティカル攻撃を受けた時、強化パネルを出現させる\n・仲間のHPとブレイクゲージを回復\n・相手に与ダメージDOWNと与ブレイクダメージDOWNを付与	- Creates boost panels when hit by a critical attack\n- Restores allies' HP and stun gauge\n- Reduces opponent's damage dealt and stun damage dealt	·受到暴击时，生成强化面板\n·恢复友方HP和破防槽\n·赋予对手造成伤害下降和造成破防伤害下降	‧受到重擊攻擊時，使強化面板出現\n‧回復夥伴的HP與破防量表\n‧賦予對象給予傷害下降和給予破防傷害下降
10120001	・戦闘不能時、弱体パネルを麻痺パネルに変更\n・毒攻撃\n・仲間のターンを早める	- When KO'd, converts weaken panels to Paralysis panels\n- Poisonous attack\n- Advances allies' turns	·无法战斗时，削弱面板变换为麻痹面板\n·中毒攻击\n·加快友方回合	‧無法戰鬥時，將弱化面板變更為麻痺面板\n‧中毒攻擊\n‧加快夥伴的行動回合
10120003	・戦闘不能時、弱体パネルを麻痺パネルへ変更\n・毒を付与\n・カチコチを付与\n・仲間の手番を早める	- When KO'd, converts weaken panels to Paralysis panels\n- Inflicts Poison\n- Inflicts Brittle\n- Advances allies' turns	·无法战斗时，削弱面板变换为麻痹面板\n·赋予中毒\n·赋予僵直\n·加快友方回合	‧無法戰鬥時，將弱化面板變更為麻痺面板\n‧賦予中毒\n‧賦予僵硬\n‧加快夥伴的行動回合
10120005	・戦闘不能時、弱体パネルを麻痺パネルへ変更\n・毒を付与\n・カチコチを付与\n・仲間のターンを早める	- When KO'd, converts weaken panels to Paralysis panels\n- Inflicts Poison\n- Inflicts Brittle\n- Advances allies' turns	·无法战斗时，削弱面板变换为麻痹面板\n·赋予中毒\n·赋予僵直\n·加快友方回合	‧無法戰鬥時，將弱化面板變更為麻痺面板\n‧賦予中毒\n‧賦予僵硬\n‧加快夥伴的行動回合
10120006	・戦闘不能時、弱体パネルを麻痺パネルへ変更\n・毒を付与\n・カチコチを付与\n・仲間のターンを早め、回避を付与	- When KO'd, converts weaken panels to Paralysis panels\n- Inflicts Poison\n- Inflicts Brittle\n- Advances allies' turns and grants allies Evasion	·无法战斗时，削弱面板变换为麻痹面板\n·赋予中毒\n·赋予僵直\n·加快友方回合并且赋予友方回避	‧無法戰鬥時，將弱化面板變更為麻痺面板\n‧賦予中毒\n‧賦予僵硬\n‧加快夥伴的行動回合並賦予夥伴迴避
10121003	・戦闘不能時、弱体パネルを暗闇パネルに変更\n・仲間に被ダメージDOWNと、被ブレイクダメージDOWNを付与	- When KO'd, converts weaken panels to Blindness panels\n- Reduces allies' damage received and stun damage received	·无法战斗时，削弱面板变换为盲目面板\n·赋予友方所受伤害下降，所受破防伤害下降	‧無法戰鬥時，將弱化面板變更為盲目面板\n‧賦予夥伴所受傷害下降，所受破防傷害下降
10122004	・ブレイク時、強化系パネルをバーストパネルに変更\n・かばう\n・自身を回復\n・自身のHPとブレイクゲージを回復	- When stunned, converts boost-type panels to burst panels\n- Protection\n- Heals self\n- Recovers own HP and stun gauge	·破防时，强化类面板变换为爆发面板\n·掩护\n·为自身恢复\n·恢复自身HP和破防槽	‧破防時，將強化系面板變更為爆發面板\n‧守護\n‧回復自身\n‧回復自身HP和破防量表
10123006	・ヒントはありません	- No tips available.	·暂无提示	‧沒有提示
