id	name	name_en	name_zh-CN	name_zh-TW	abbreviation	abbreviation_en	abbreviation_zh-CN	abbreviation_zh-TW
25	乙女たちのチョコレートミックス	Valentine's Chocolate Mix	少女们的混合巧克力	少女們的綜合巧克力	乙女たちの\nチョコレートミックス	Valentine's\nChocolate Mix	少女们的\n混合巧克力	少女們的\n綜合巧克力
26	アーランドの錬金術士	The Alchemist of Arland	亚兰德之炼金术士	亞蘭德之鍊金術士	アーランドの\n錬金術士	The Alchemist\nof Arland	亚兰德之\n炼金术士	亞蘭德之\n鍊金術士
27	第9章	Chapter 9	第9章	第9章	9	9	9	9
28	第9章 エクストラ	Chapter 9 Extra	第9章EXTRA	第9章EXTRA	7	7	7	7
29	第10章	Chapter 10	第10章	第10章	10	10	10	10
30	第10章 エクストラ	Chapter 10 Extra	第10章EXTRA	第10章EXTRA	8	8	8	8
31	第11章	Chapter 11	第11章	第11章	11	11	11	11
32	第11章 エクストラ	Chapter 11 Extra	第11章EXTRA	第11章EXTRA	9	9	9	9
33	レスレリ学園 第1弾	Resleriana Academy Part 1	蕾斯莱莉娅娜学园 第1弹	蕾斯萊莉婭娜學園 第1彈	レスレリ学園\n第1弾	Resleriana Academy\nPart 1	蕾斯莱莉娅娜\n学园 第1弹	蕾斯萊莉婭娜\n學園 第1彈
34	レスレリ学園 第2弾	Resleriana Academy Part 2	蕾斯莱莉娅娜学园 第2弹	蕾斯萊莉婭娜學園 第2彈	レスレリ学園\n第2弾	Resleriana Academy\nPart 2	蕾斯莱莉娅娜\n学园 第2弹	蕾斯萊莉婭娜\n學園 第2彈
35	レスレリ学園 第3弾	Resleriana Academy Part 3	蕾斯莱莉娅娜学园 第3弹	蕾斯萊莉婭娜學園 第3彈	レスレリ学園\n第3弾	Resleriana Academy\nPart 3	蕾斯莱莉娅娜\n学园 第3弹	蕾斯萊莉婭娜\n學園 第3彈
36	温泉奪還作戦！	Operation: Take Back the Hot Springs!	夺回温泉作战！	奪回溫泉作戰！	温泉奪還作戦！	Operation: Take Back the Hot Springs!	夺回温泉作战！	奪回溫泉作戰！
37	第12章	Chapter 12	第12章	第12章	12	12	12	12
38	第12章 エクストラ	Chapter 12 Extra	第12章EXTRA	第12章EXTRA	10	10	10	10
39	ランターナ建国記念杯	Lantarna Founding Anniversary Cup	兰塔纳建国纪念杯	蘭塔納建國紀念盃	ランターナ建国記念杯	Lantarna Founding Anniversary Cup	兰塔纳\n建国纪念杯	蘭塔納\n建國紀念盃
40	第13章	Chapter 13	第13章	第13章	13	13	13	13
41	第13章 エクストラ	Chapter 13 Extra	第13章EXTRA	第13章EXTRA	11	11	11	11
42	竜の涙は花と散る	The Dragon's Tears Fall Like Petals	龙之泪随花凋零	龍之淚如花凋零	竜の涙は\n花と散る	The Dragon's Tears\nFall Like Petals	龙之泪\n随花凋零	龍之淚\n如花凋零
43	事件発生！ 飛び出せオフィス！	Incident Alert! Dash Out of the Office!	事件发生！出动吧，公务员！	發生事件！奔出辦公室！	事件発生！\n飛び出せオフィス！	Incident Alert! Dash Out of the Office!	事件发生！\n出动吧，\n公务员！	發生事件！\n奔出辦公室！
44	第14章	Chapter 14	第14章	第14章	14	14	14	14
45	第14章 エクストラ	Chapter 14 Extra	第14章EXTRA	第14章EXTRA	12	12	12	12
46	アトリエサマー2024 第1弾	Atelier Summer 2024 Part 1	炼金工房盛夏2024 第1弹	鍊金工房盛夏2024 第1彈	アトリエサマー\n2024 第1弾	Atelier Summer\n2024 Part 1	炼金工房盛夏\n2024 第1弹	鍊金工房盛夏\n2024 第1彈
47	アトリエサマー2024 第2弾	Atelier Summer 2024 Part 2	炼金工房盛夏2024 第2弹	鍊金工房盛夏2024 第2彈	アトリエサマー\n2024 第2弾	Atelier Summer\n2024 Part 2	炼金工房盛夏\n2024 第2弹	鍊金工房盛夏\n2024 第2彈
48	アトリエサマー2024 第3弾	Atelier Summer 2024 Part 3	炼金工房盛夏2024 第3弹	鍊金工房盛夏2024 第3彈	アトリエサマー\n2024 第3弾	Atelier Summer\n2024 Part 3	炼金工房盛夏\n2024 第3弹	鍊金工房盛夏\n2024 第3彈
49	第15章	Chapter 15	第15章	第15章	15	15	15	15
50	１周年前夜祭ボスチャレンジ	1st Anniversary Prelude Boss Challenge	一周年前夜祭头目挑战	1週年前夜祭頭目挑戰	１周年前夜祭\nボスチャレンジ	1st Anniversary Prelude\nBoss Challenge	一周年前夜祭\n头目挑战	1週年前夜祭\n頭目挑戰
51	第16章	Chapter 16	第16章	第16章	16	16	16	16
52	火の塔	Tower of Fire	火之塔	火之塔	火の塔	Tower of Fire	火之塔	火之塔
53	氷の塔	Tower of Ice	冰之塔	冰之塔	氷の塔	Tower of Ice	冰之塔	冰之塔
54	雷の塔	Tower of Bolt	雷之塔	雷之塔	雷の塔	Tower of Bolt	雷之塔	雷之塔
55	風の塔	Tower of Air	风之塔	風之塔	風の塔	Tower of Air	风之塔	風之塔
56	斬の塔	Tower of Slash	斩击之塔	斬之塔	斬の塔	Tower of Slash	斩击之塔	斬之塔
57	打の塔	Tower of Strike	打击之塔	打之塔	打の塔	Tower of Strike	打击之塔	打之塔
58	突の塔	Tower of Stab	突刺之塔	突之塔	突の塔	Tower of Stab	突刺之塔	突之塔
61	第17章	Chapter 17	第17章	第17章	17	17	17	17
62	爆裂！！ マリーからの試練	Explosion Time!! Marie's Trial	炸裂！！玛莉的试炼	爆裂！！瑪莉給予的試煉	爆裂！！\nマリーからの試練	Explosion Time!! \nMarie's Trial	炸裂！！\n玛莉的试炼	爆裂！！\n瑪莉給予的試煉
63	第18章	Chapter 18	第18章	第18章	18	18	18	18
64	旋風！！ユーディーからの試練	Whirlwind!! Judie's Trial	旋风！！优蒂的试炼	旋風！！優蒂給予的試煉	旋風！！\nユーディーからの試練	Whirlwind!! \nJudie's Trial	旋风！！\n优蒂的试炼	旋風！！\n優蒂給予的試煉
65	第19章	Chapter 19	第19章	第19章	19	19	19	19
66	渇きの中で咲く花たち	Flowers That Bloom in a Drought	渴望中绽放之花	在渴望中綻放的群花	渇きの中で\n咲く花たち	Flowers That \nBloom in a Drought	渴望中\n绽放之花	在渴望中\n綻放的群花
67	混沌と規律の邂逅	Convergence of Chaos and Order	混沌和规则的邂逅	混沌與規律的邂逅	混沌と規律の邂逅	Convergence of Chaos and Order	混沌和规则的邂逅	混沌與規律的邂逅
68	ブラッドの実地調査	Brad's Field Investigation	布莱德的实地调查	布萊德的實地調查	ブラッドの実地調査	Brad's Field Investigation	布莱德的实地调查	布萊德的實地調查
69	第20章	Chapter 20	第20章	第20章	20	20	20	20
70	目指せハイスコア！ラムローストくんバトル	Aim for a High Score! Ram Roast Battle	目标是获得高分！烤羊肉之战	目標獲得高分！烤羊肉戰鬥	目指せハイスコア！ラムローストくんバトル	Aim for a High Score! Ram Roast Battle	目标是获得高分！烤羊肉之战	目標獲得高分！烤羊肉戰鬥
71	第21章	Chapter 21	第21章	第21章	21	21	21	21
72	キラキラセキララ星誕祭！				キラキラセキララ星誕祭！			
73	縁結ぶ者　星照らす道				縁結ぶ者　星照らす道			
74	第22章				22			
75	親友と歩む未来				親友と歩む未来			
76	ライバルと競う未来				ライバルと競う未来			
77	あなたと夢見るトクベツ				あなたと夢見るトクベツ			
78	あなたと冒険するトクベツ				あなたと冒険するトクベツ			
79	第23章				23			
