id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
300137	エンゼルリボン	Angel Ribbon	天使缎带	天使緞帶	自身のHPが70%以上の時、受けるダメージ-{0}%	Reduces damage received by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，所受伤害-{0}%。	自身的HP在70%以上時，所受傷害-{0}%。
300138	精霊の杖・氷	Spirit Staff - Ice	精灵之杖·冰	精靈之杖‧冰	得意属性が氷属性の時、スキルダメージ+{0}%	While equipped to a character with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性时，技能伤害+{0}%。	自身屬性為冰屬性時，技能傷害+{0}%。
300139	精霊の杖・氷	Spirit Staff - Ice	精灵之杖·冰	精靈之杖‧冰	得意属性が氷属性の時、スキルダメージ+{0}%	While equipped to a character with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性时，技能伤害+{0}%。	自身屬性為冰屬性時，技能傷害+{0}%。
300140	コンバットシャツ	Combat Shirt	战斗衬衫	戰鬥襯衫	斬打突いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Slash, Strike, or Stab attribute.	给予斩打突其中任一属性角色的HP恢复量+{0}%。	對斬打突任一屬性角色賦予HP回復量+{0}%。
300141	コンバットシャツ	Combat Shirt	战斗衬衫	戰鬥襯衫	斬打突いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Slash, Strike, or Stab attribute.	给予斩打突其中任一属性角色的HP恢复量+{0}%。	對斬打突任一屬性角色賦予HP回復量+{0}%。
300142	グナーデリング・物	Gnade Ring - Phys	恩典戒指·物	恩典戒指‧物	自身のHPが70%以上の時、斬打突属性耐性+{0}%	Boosts Slash, Strike, and Stab Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，斩打突属性耐性+{0}%。	自身的HP在70%以上時，斬打突屬性耐性+{0}%。
300143	グナーデリング・物	Gnade Ring - Phys	恩典戒指·物	恩典戒指‧物	自身のHPが70%以上の時、斬打突属性耐性+{0}%	Boosts Slash, Strike, and Stab Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，斩打突属性耐性+{0}%。	自身的HP在70%以上時，斬打突屬性耐性+{0}%。
300144	精霊の杖・風	Spirit Staff - Air	精灵之杖·风	精靈之杖‧風	得意属性が風属性の時、スキルダメージ+{0}%	While equipped to a character with Air affinity, boosts skill damage by {0}%.	自身属性为风属性时，技能伤害+{0}%。	自身屬性為風屬性時，技能傷害+{0}%。
300145	精霊の杖・風	Spirit Staff - Air	精灵之杖·风	精靈之杖‧風	得意属性が風属性の時、スキルダメージ+{0}%	While equipped to a character with Air affinity, boosts skill damage by {0}%.	自身属性为风属性时，技能伤害+{0}%。	自身屬性為風屬性時，技能傷害+{0}%。
300146	冒険者の服	Adventurer's Clothing	冒险者的服装	冒險者的服裝	自身がサポーターの時、バーストスキルダメージ+{0}%	While equipped to a Supporter, boosts burst skill damage by {0}%.	自身为支援者时，爆发技能伤害+{0}%。	自身為支援者時，爆發技能傷害+{0}%。
300147	冒険者の服	Adventurer's Clothing	冒险者的服装	冒險者的服裝	自身がサポーターの時、バーストスキルダメージ+{0}%	While equipped to a Supporter, boosts burst skill damage by {0}%.	自身为支援者时，爆发技能伤害+{0}%。	自身為支援者時，爆發技能傷害+{0}%。
300148	グナーデリング・魔	Gnade Ring - Mag	恩典戒指·魔	恩典戒指‧魔	自身のHPが70%以上の時、火氷雷風属性耐性+{0}%	Boosts Fire, Ice, Bolt, and Air Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，火冰雷风属性耐性+{0}%。	自身的HP在70%以上時，火冰雷風屬性耐性+{0}%。
300149	グナーデリング・魔	Gnade Ring - Mag	恩典戒指·魔	恩典戒指‧魔	自身のHPが70%以上の時、火氷雷風属性耐性+{0}%	Boosts Fire, Ice, Bolt, and Air Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，火冰雷风属性耐性+{0}%。	自身的HP在70%以上時，火冰雷風屬性耐性+{0}%。
300150	精霊の杖・雷	Spirit Staff - Bolt	精灵之杖·雷	精靈之杖‧雷	得意属性が雷属性の時、スキルダメージ+{0}%	While equipped to a character with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性时，技能伤害+{0}%。	自身屬性為雷屬性時，技能傷害+{0}%。
300151	精霊の杖・雷	Spirit Staff - Bolt	精灵之杖·雷	精靈之杖‧雷	得意属性が雷属性の時、スキルダメージ+{0}%	While equipped to a character with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性时，技能伤害+{0}%。	自身屬性為雷屬性時，技能傷害+{0}%。
300152	無重力シャツ	Weightless Shirt	无重力衬衫	無重力襯衫	自身がディフェンダーの時、受けるHP回復量+{0}%	While equipped to a Defender, boosts HP recovery received by {0}%.	自身为防御者时，所受HP恢复量+{0}%。	自身為防禦者時，所受HP回復量+{0}%。
300153	無重力シャツ	Weightless Shirt	无重力衬衫	無重力襯衫	自身がディフェンダーの時、受けるHP回復量+{0}%	While equipped to a Defender, boosts HP recovery received by {0}%.	自身为防御者时，所受HP恢复量+{0}%。	自身為防禦者時，所受HP回復量+{0}%。
300154	クロニクルマーク・斬	Chronicle Mark - Slash	时光标记·斩	圖騰項鍊‧斬	得意属性が斬属性の時、受けるダメージ-{0}%	While equipped to a character with Slash affinity, reduces damage received by {0}%.	自身属性为斩击属性时，所受伤害-{0}%。	自身屬性為斬屬性時，所受傷害-{0}%。
300155	クロニクルマーク・斬	Chronicle Mark - Slash	时光标记·斩	圖騰項鍊‧斬	得意属性が斬属性の時、受けるダメージ-{0}%	While equipped to a character with Slash affinity, reduces damage received by {0}%.	自身属性为斩击属性时，所受伤害-{0}%。	自身屬性為斬屬性時，所受傷害-{0}%。
300156	クロニクルマーク・突	Chronicle Mark - Stab	时光标记·突	圖騰項鍊‧突	得意属性が突属性の時、受けるダメージ-{0}%	While equipped to a character with Stab affinity, reduces damage received by {0}%.	自身属性为突刺属性时，所受伤害-{0}%。	自身屬性為突屬性時，所受傷害-{0}%。
300157	クロニクルマーク・突	Chronicle Mark - Stab	时光标记·突	圖騰項鍊‧突	得意属性が突属性の時、受けるダメージ-{0}%	While equipped to a character with Stab affinity, reduces damage received by {0}%.	自身属性为突刺属性时，所受伤害-{0}%。	自身屬性為突屬性時，所受傷害-{0}%。
300158	クロニクルマーク・打	Chronicle Mark - Strike	时光标记·打	圖騰項鍊‧打	得意属性が打属性の時、受けるダメージ-{0}%	While equipped to a character with Strike affinity, reduces damage received by {0}%.	自身属性为打击属性时，所受伤害-{0}%。	自身屬性為打屬性時，所受傷害-{0}%。
300159	クロニクルマーク・打	Chronicle Mark - Strike	时光标记·打	圖騰項鍊‧打	得意属性が打属性の時、受けるダメージ-{0}%	While equipped to a character with Strike affinity, reduces damage received by {0}%.	自身属性为打击属性时，所受伤害-{0}%。	自身屬性為打屬性時，所受傷害-{0}%。
300160	火霊のリング	Fire Spirit Ring	火灵戒指	火靈戒指	得意属性が火属性の時、受けるダメージ-{0}%	While equipped to a character with Fire affinity, reduces damage received by {0}%.	自身属性为火属性时，所受伤害-{0}%。	自身屬性為火屬性時，所受傷害-{0}%。
300161	火霊のリング	Fire Spirit Ring	火灵戒指	火靈戒指	得意属性が火属性の時、受けるダメージ-{0}%	While equipped to a character with Fire affinity, reduces damage received by {0}%.	自身属性为火属性时，所受伤害-{0}%。	自身屬性為火屬性時，所受傷害-{0}%。
300162	暴風のリング	Gale Force Ring	暴风戒指	暴風戒指	得意属性が風属性の時、受けるダメージ-{0}%	While equipped to a character with Air affinity, reduces damage received by {0}%.	自身属性为风属性时，所受伤害-{0}%。	自身屬性為風屬性時，所受傷害-{0}%。
300163	暴風のリング	Gale Force Ring	暴风戒指	暴風戒指	得意属性が風属性の時、受けるダメージ-{0}%	While equipped to a character with Air affinity, reduces damage received by {0}%.	自身属性为风属性时，所受伤害-{0}%。	自身屬性為風屬性時，所受傷害-{0}%。
300164	氷幻のリング	Phantom Ice Ring	冰幻戒指	冰幻戒指	得意属性が氷属性の時、受けるダメージ-{0}%	While equipped to a character with Ice affinity, reduces damage received by {0}%.	自身属性为冰属性时，所受伤害-{0}%。	自身屬性為冰屬性時，所受傷害-{0}%。
300165	氷幻のリング	Phantom Ice Ring	冰幻戒指	冰幻戒指	得意属性が氷属性の時、受けるダメージ-{0}%	While equipped to a character with Ice affinity, reduces damage received by {0}%.	自身属性为冰属性时，所受伤害-{0}%。	自身屬性為冰屬性時，所受傷害-{0}%。
300166	雷帝のリング	King of Thunder Ring	雷帝戒指	雷帝戒指	得意属性が雷属性の時、受けるダメージ-{0}%	While equipped to a character with Bolt affinity, reduces damage received by {0}%.	自身属性为雷属性时，所受伤害-{0}%。	自身屬性為雷屬性時，所受傷害-{0}%。
300167	雷帝のリング	King of Thunder Ring	雷帝戒指	雷帝戒指	得意属性が雷属性の時、受けるダメージ-{0}%	While equipped to a character with Bolt affinity, reduces damage received by {0}%.	自身属性为雷属性时，所受伤害-{0}%。	自身屬性為雷屬性時，所受傷害-{0}%。
300168	守護者の大剣	Protector Sword	守护者大剑	守護者大劍	受けるダメージ-{0}%	Reduces damage received by {0}%.	所受伤害-{0}%。	所受傷害-{0}%。
300169	守護者の大剣	Protector Sword	守护者大剑	守護者大劍	受けるダメージ-{0}%	Reduces damage received by {0}%.	所受伤害-{0}%。	所受傷害-{0}%。
300170	おしゃれなほうき	Stylish Broom	时髦扫把	時髦掃把	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
300171	おしゃれなほうき	Stylish Broom	时髦扫把	時髦掃把	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
300172	薬草のシャツ	Herbal Shirt	药草衬衫	藥草襯衫	自身が攻撃を受けた時、最大HPの{0}%回復	When hit by an attack, restores {0}% of max HP.	自身受到攻击时，恢复HP上限的{0}%。	自身受到攻擊時，回復HP最大值{0}%。
300173	薬草のシャツ	Herbal Shirt	药草衬衫	藥草襯衫	自身が攻撃を受けた時、最大HPの{0}%回復	When hit by an attack, restores {0}% of max HP.	自身受到攻击时，恢复HP上限的{0}%。	自身受到攻擊時，回復HP最大值{0}%。
300174	スカラーコート	Skuller Coat	学者御用服	學者御用服	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
300175	スカラーコート	Skuller Coat	学者御用服	學者御用服	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
300176	レディアントプレート	Radiant Plate	光辉板甲	光輝板甲	与えるマイナス効果量+{0}%	Boosts potency of negative effects inflicted by {0}%.	给予的负面效果量+{0}%。	賦予減弱效果量+{0}%。
300177	レディアントプレート	Radiant Plate	光辉板甲	光輝板甲	与えるマイナス効果量+{0}%	Boosts potency of negative effects inflicted by {0}%.	给予的负面效果量+{0}%。	賦予減弱效果量+{0}%。
300178	プレートベスト	Plate Vest	铁甲背心	板甲背心	自身が味方全員回復時、HP回復量+{0}%	Boosts HP recovery amount by {0}% when restoring HP to all allies.	自身为我方全体恢复时，HP恢复量+{0}%。	自身為我方全體回復時，自身HP回復量+{0}%。
300179	プレートベスト	Plate Vest	铁甲背心	板甲背心	自身が味方全員回復時、HP回復量+{0}%	Boosts HP recovery amount by {0}% when restoring HP to all allies.	自身为我方全体恢复时，HP恢复量+{0}%。	自身為我方全體回復時，自身HP回復量+{0}%。
300180	クリングメーネ	Klinge Mähne	历神之剑	曆神之劍	得意属性が斬属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为攻击者时，技能伤害+{0}%。	自身屬性為斬屬性且為攻擊者時，技能傷害+{0}%。
300181	クリングメーネ	Klinge Mähne	历神之剑	曆神之劍	得意属性が斬属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为攻击者时，技能伤害+{0}%。	自身屬性為斬屬性且為攻擊者時，技能傷害+{0}%。
300182	ヤマネコの槍	Madcat Spear	山猫长枪	山貓之槍	得意属性が突属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为攻击者时，技能伤害+{0}%。	自身屬性為突屬性且為攻擊者時，技能傷害+{0}%。
300183	ヤマネコの槍	Madcat Spear	山猫长枪	山貓之槍	得意属性が突属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为攻击者时，技能伤害+{0}%。	自身屬性為突屬性且為攻擊者時，技能傷害+{0}%。
300184	エレメントブレス・火	Elemental Breath - Fire	元素吐息·火	元素吐息‧火	得意属性が火属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为攻击者时，技能伤害+{0}%。	自身屬性為火屬性且為攻擊者時，技能傷害+{0}%。
300185	エレメントブレス・火	Elemental Breath - Fire	元素吐息·火	元素吐息‧火	得意属性が火属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为攻击者时，技能伤害+{0}%。	自身屬性為火屬性且為攻擊者時，技能傷害+{0}%。
300186	エレメントブレス・氷	Elemental Breath - Ice	元素吐息·冰	元素吐息‧冰	得意属性が氷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为攻击者时，技能伤害+{0}%。	自身屬性為冰屬性且為攻擊者時，技能傷害+{0}%。
300187	エレメントブレス・氷	Elemental Breath - Ice	元素吐息·冰	元素吐息‧冰	得意属性が氷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为攻击者时，技能伤害+{0}%。	自身屬性為冰屬性且為攻擊者時，技能傷害+{0}%。
300188	エレメントブレス・雷	Elemental Breath - Bolt	元素吐息·雷	元素吐息‧雷	得意属性が雷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性且身为攻击者时，技能伤害+{0}%。	自身屬性為雷屬性且為攻擊者時，技能傷害+{0}%。
300189	エレメントブレス・雷	Elemental Breath - Bolt	元素吐息·雷	元素吐息‧雷	得意属性が雷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性且身为攻击者时，技能伤害+{0}%。	自身屬性為雷屬性且為攻擊者時，技能傷害+{0}%。
300190	コロッサルエッジ	Colossal Edge	无双	巨型劍鋒	得意属性が斬属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为破坏者时，技能伤害+{0}%。	自身屬性為斬屬性且為破壞者時，技能傷害+{0}%。
300191	コロッサルエッジ	Colossal Edge	无双	巨型劍鋒	得意属性が斬属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为破坏者时，技能伤害+{0}%。	自身屬性為斬屬性且為破壞者時，技能傷害+{0}%。
300192	白翼の槍	White Wing Spear	白翼长枪	白翼之槍	得意属性が突属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为破坏者时，技能伤害+{0}%。	自身屬性為突屬性且為破壞者時，技能傷害+{0}%。
300193	白翼の槍	White Wing Spear	白翼长枪	白翼之槍	得意属性が突属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为破坏者时，技能伤害+{0}%。	自身屬性為突屬性且為破壞者時，技能傷害+{0}%。
300194	ワンダーミステル・火	Mystical Wonder - Fire	惊奇手杖·火	驚奇手杖‧火	得意属性が火属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为破坏者时，技能伤害+{0}%。	自身屬性為火屬性且為破壞者時，技能傷害+{0}%。
300195	ワンダーミステル・火	Mystical Wonder - Fire	惊奇手杖·火	驚奇手杖‧火	得意属性が火属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为破坏者时，技能伤害+{0}%。	自身屬性為火屬性且為破壞者時，技能傷害+{0}%。
300196	ワンダーミステル・風	Mystical Wonder - Air	惊奇手杖·风	驚奇手杖‧風	得意属性が風属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Air affinity, boosts skill damage by {0}%.	自身属性为风属性且身为破坏者时，技能伤害+{0}%。	自身屬性為風屬性且為破壞者時，技能傷害+{0}%。
300197	ワンダーミステル・風	Mystical Wonder - Air	惊奇手杖·风	驚奇手杖‧風	得意属性が風属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Air affinity, boosts skill damage by {0}%.	自身属性为风属性且身为破坏者时，技能伤害+{0}%。	自身屬性為風屬性且為破壞者時，技能傷害+{0}%。
300198	ワンダーミステル・氷	Mystical Wonder - Ice	惊奇手杖·冰	驚奇手杖‧冰	得意属性が氷属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为破坏者时，技能伤害+{0}%。	自身屬性為冰屬性且為破壞者時，技能傷害+{0}%。
300199	ワンダーミステル・氷	Mystical Wonder - Ice	惊奇手杖·冰	驚奇手杖‧冰	得意属性が氷属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为破坏者时，技能伤害+{0}%。	自身屬性為冰屬性且為破壞者時，技能傷害+{0}%。
300200	ワンダーミステル・雷	Mystical Wonder - Bolt	惊奇手杖·雷	驚奇手杖‧雷	得意属性が雷属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性且身为破坏者时，技能伤害+{0}%。	自身屬性為雷屬性且為破壞者時，技能傷害+{0}%。
