id	name	name_en	name_zh-CN	name_zh-TW
35	レスレリ学園 ～影より見守りし君へ～	Resleriana Academy - To My Protector among the Shadows	蕾斯莱莉娅娜学园 ～致暗中守望的你～	蕾斯萊莉婭娜學園 ～致在暗處守護我的你～
36	温泉奪還作戦！ ～ととのいと癒しを求めて～	Operation: Take Back the Hot Springs! In Search of Clarity and Comfort	夺回温泉作战！ ～陶醉与治愈之旅～	奪回溫泉作戰！ ～追求通體舒暢與治癒～
37	ランターナ建国記念杯	Lantarna Founding Anniversary Cup	兰塔纳建国纪念杯	蘭塔納建國紀念盃
38	「アトリエ」シリーズ27周年記念！クッキーミッション	Atelier Series 27th Anniversary! Cookie Missions	《炼金工房》系列27周年纪念！曲奇任务	「鍊金工房」系列27週年紀念！餅乾任務
39	竜の涙は花と散る	The Dragon's Tears Fall Like Petals	龙之泪随花凋零	龍之淚如花凋零
40	花嫁修行ミッション！	Bridal Training Missions!	新娘修行任务！	新娘修行任務！
41	事件発生！　飛び出せオフィス！	Incident Alert! Dash Out of the Office!	事件发生！出动吧，公务员！	發生事件！奔出辦公室！
43	アトリエサマー2024 水着DEリゾート！	Atelier Summer 2024 Resort Swim Time!	炼金工房盛夏2024 泳装假日！	鍊金工房盛夏2024 身穿泳裝去度假！
44	アトリエサマー2024 ミッション	Atelier Summer 2024 Missions	炼金工房盛夏2024 任务	鍊金工房盛夏2024 任務
45	【初級】夜空を彩れ！花火大会！	[Beginner] Light Up the Night Sky! Fireworks Festival!	【初级】渲染夜空！烟花大会！	【初級】彩繪夜空吧！煙火大會！
46	【中級】夜空を飾れ！花火大会！	[Normal] Adorn the Night Sky! Fireworks Festival!	【中级】装点夜空！烟花大会！	【中級】妝點夜空吧！煙火大會！
47	【上級】夜空に輝け！花火大会！	[Hard] Sparkling Night Sky! Fireworks Festival!	【高级】闪耀夜空！烟花大会！	【上級】照亮夜空吧！煙火大會！
48	【超級】夜空に咲き誇れ！花火大会！	[Elite] Dazzling Night Sky! Fireworks Festival!	【超级】绽放于夜空！烟花大会！	【超級】在夜空綻放吧！煙火大會！
49	チャレンジバトル ヨハナ	Challenge Battle: Johanna	挑战战斗 约翰娜	挑戰戰鬥 約翰娜
50	アトリエサマー2024 ザクザク！　ビーチで宝探し！	Atelier Summer 2024: Treasure Hunt at the Beach!	炼金工房盛夏2024 沙砾腾腾！沙滩寻宝！	鍊金工房盛夏2024 沙沙作響！　在海灘尋寶！
51	１周年前夜祭ボスチャレンジ	1st Anniversary Prelude Boss Challenge	一周年前夜祭头目挑战	1週年前夜祭頭目挑戰
52	チャレンジバトル ララ	Challenge Battle: Lara	挑战战斗 拉拉	挑戰戰鬥 拉拉
53	チャレンジバトル アンチュ＆ワルター	Challenge Battle: Antje & Walther	挑战战斗 安洁＆瓦尔特	挑戰戰鬥 安潔＆瓦爾特
54	匠の逸品！　ララの品評会！	Craftsman's Masterpiece! Lara's Showcase!	匠心优作！拉拉的品评会！	專家的逸品！拉拉的品評會！
55	至高の逸品！　ララの品評会！	Supreme Masterpiece! Lara's Showcase!	极致优作！拉拉的品评会！	至高的逸品！拉拉的品評會！
56	1周年記念プレゼントバトル 第1弾	1st Anniversary Present Battle Part 1	1周年纪念赠礼战斗 第1弹	1週年紀念獻禮戰鬥 第1彈
57	1周年記念 ミッション	1st Anniversary Missions	1周年纪念 任务	1週年紀念 任務
58	チャレンジバトル ジェロン	Challenge Battle: Geron	挑战战斗 杰隆	挑戰戰鬥 傑隆
59	ボスチャレンジ ウェルテックス	Boss Challenge: Weltex	头目挑战 威尔特克斯	頭目挑戰 威爾特庫斯
60	1周年記念プレゼントバトル 第2弾	1st Anniversary Present Battle Part 2	1周年纪念赠礼战斗 第2弹	1週年紀念獻禮戰鬥 第2彈
61	爆裂！！ マリーからの試練	Explosion Time!! Marie's Trial	炸裂！！玛莉的试炼	爆裂！！瑪莉給予的試煉
62	1周年記念プレゼントバトル 第3弾	1st Anniversary Present Battle Part 3	1周年纪念赠礼战斗 第3弹	1週年紀念獻禮戰鬥 第3彈
63	チャレンジバトル 錬金党	Challenge Battle: Polar Night Alchemists	挑战战斗 炼金党	挑戰戰鬥 鍊金黨
64	四元の塔クリア応援ミッション	Elemental Tower Support Missions	四元之塔通关应援任务	四元之塔通關支援任務
65	旋風！！ユーディーからの試練	Whirlwind!! Judie's Trial	旋风！！优蒂的试炼	旋風！！優蒂給予的試煉
66	HALLOWEEN2024ミッション	Halloween 2025 Missions	HALLOWEEN2025任务	HALLOWEEN2025任務
67	ボスチャレンジ コズミックシェル	Boss Challenge: Cosmic Shell	头目挑战 宇宙壳	頭目挑戰 宇宙殼
68	渇きの中で咲く花たち	Flowers That Bloom in a Drought	渴望中绽放之花	在渴望中綻放的群花
69	混沌と規律の邂逅	Convergence of Chaos and Order	混沌和规则的邂逅	混沌與規律的邂逅
70	ブラッドの実地調査	Brad's Field Investigation	布莱德的实地调查	布萊德的實地調查
71	目指せハイスコア！ラムローストくんバトル	Aim for a High Score! Ram Roast Battle	目标是获得高分！烤羊肉之战	目標獲得高分！烤羊肉戰鬥
72	キラキラセキララ星誕祭！			
73	プレゼント奪還！　星誕祭バトル！			
74	縁結ぶ者　星照らす道			
75	謹賀新年！　お宝ダンジョン！			
76	年越し！煩悩撃退バトル！			
77	親友と歩む未来			
78	ライバルと競う未来			
79	あなたと夢見るトクベツ			
80	フナを釣り上げろ！アトリエ釣り大会！			
81	ツナを釣り上げろ！アトリエ釣り大会！			
82	あなたと冒険するトクベツ			
83	チャレンジバトルクヴァレルガ			
84	アイテム大戦 なんでも屋シトリンの挑戦状			
85	踏破せよ！連続バトル βば～じょん			
86	1.5周年記念プレゼントバトル			
