id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
24	白銀の双剣	Silver Twin Swords	白银双剑	白銀雙劍	得意属性が斬属性の時、スキルダメージ+{0}%	While equipped to a character with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性时，技能伤害+{0}%。	自身屬性為斬屬性時，技能傷害+{0}%。
25	白銀の双剣	Silver Twin Swords	白银双剑	白銀雙劍	得意属性が斬属性の時、スキルダメージ+{0}%	While equipped to a character with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性时，技能伤害+{0}%。	自身屬性為斬屬性時，技能傷害+{0}%。
26	魔獣の革鎧	Beast Armor	魔兽皮甲	魔獸皮甲	与えるHP回復量+{0}%	Boosts HP recovery given by {0}%.	给予的HP恢复量+{0}%。	賦予HP回復量+{0}%。
27	魔獣の革鎧	Beast Armor	魔兽皮甲	魔獸皮甲	与えるHP回復量+{0}%	Boosts HP recovery given by {0}%.	给予的HP恢复量+{0}%。	賦予HP回復量+{0}%。
28	ハッスルベルト	Hustle Belt	干劲腰带	幹勁腰帶	自身がブレイカーの時、受けるダメージ-{0}%	While equipped to a Breaker, reduces damage received by {0}%.	自身为破坏者时，所受伤害-{0}%。	自身為破壞者時，所受傷害-{0}%。
29	ハッスルベルト	Hustle Belt	干劲腰带	幹勁腰帶	自身がブレイカーの時、受けるダメージ-{0}%	While equipped to a Breaker, reduces damage received by {0}%.	自身为破坏者时，所受伤害-{0}%。	自身為破壞者時，所受傷害-{0}%。
30	シュペーヴァイス	Spee Weiss	银光之戟	銀光之戟	得意属性が突属性の時、スキルダメージ+{0}%	While equipped to a character with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性时，技能伤害+{0}%。	自身屬性為突屬性時，技能傷害+{0}%。
31	シュペーヴァイス	Spee Weiss	银光之戟	銀光之戟	得意属性が突属性の時、スキルダメージ+{0}%	While equipped to a character with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性时，技能伤害+{0}%。	自身屬性為突屬性時，技能傷害+{0}%。
32	ナイトシェイド	Night Shade	夜影	暗黑夜影	自身がアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker, boosts skill damage by {0}%.	自身为攻击者时，技能伤害+{0}%。	自身為攻擊者時，技能傷害+{0}%。
33	ナイトシェイド	Night Shade	夜影	暗黑夜影	自身がアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker, boosts skill damage by {0}%.	自身为攻击者时，技能伤害+{0}%。	自身為攻擊者時，技能傷害+{0}%。
34	熱血はちまき	Hot-Blooded Bandana	热血头巾	熱血頭巾	自身がディフェンダーの時、受けるダメージ-{0}%	While equipped to a Defender, reduces damage received by {0}%.	自身为防御者时，所受伤害-{0}%。	自身為防禦者時，所受傷害-{0}%。
35	熱血はちまき	Hot-Blooded Bandana	热血头巾	熱血頭巾	自身がディフェンダーの時、受けるダメージ-{0}%	While equipped to a Defender, reduces damage received by {0}%.	自身为防御者时，所受伤害-{0}%。	自身為防禦者時，所受傷害-{0}%。
36	クレアエンパシー	Clairempathy	灵感锤	靈感錘	得意属性が打属性の時、スキルダメージ+{0}%	While equipped to a character with Strike affinity, boosts skill damage by {0}%.	自身属性为打击属性时，技能伤害+{0}%。	自身屬性為打屬性時，技能傷害+{0}%。
37	クレアエンパシー	Clairempathy	灵感锤	靈感錘	得意属性が打属性の時、スキルダメージ+{0}%	While equipped to a character with Strike affinity, boosts skill damage by {0}%.	自身属性为打击属性时，技能伤害+{0}%。	自身屬性為打屬性時，技能傷害+{0}%。
38	鋲打ちの皮鎧	Riveted Leather Armor	铆钉皮铠	鉚釘皮鎧	自身がブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker, boosts skill damage by {0}%.	自身为破坏者时，技能伤害+{0}%。	自身為破壞者時，技能傷害+{0}%。
39	鋲打ちの皮鎧	Riveted Leather Armor	铆钉皮铠	鉚釘皮鎧	自身がブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker, boosts skill damage by {0}%.	自身为破坏者时，技能伤害+{0}%。	自身為破壞者時，技能傷害+{0}%。
40	エンゼルチャーム	Angel Charm	天使吊饰	天使吊飾	自身がサポーターの時、受けるダメージ-{0}%	While equipped to a Supporter, reduces damage received by {0}%.	自身为支援者时，所受伤害-{0}%。	自身為支援者時，所受傷害-{0}%。
41	エンゼルチャーム	Angel Charm	天使吊饰	天使吊飾	自身がサポーターの時、受けるダメージ-{0}%	While equipped to a Supporter, reduces damage received by {0}%.	自身为支援者时，所受伤害-{0}%。	自身為支援者時，所受傷害-{0}%。
42	精霊の杖・火	Spirit Staff - Fire	精灵之杖·火	精靈之杖‧火	得意属性が火属性の時、スキルダメージ+{0}%	While equipped to a character with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性时，技能伤害+{0}%。	自身屬性為火屬性時，技能傷害+{0}%。
43	精霊の杖・火	Spirit Staff - Fire	精灵之杖·火	精靈之杖‧火	得意属性が火属性の時、スキルダメージ+{0}%	While equipped to a character with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性时，技能伤害+{0}%。	自身屬性為火屬性時，技能傷害+{0}%。
44	極彩色のローブ	Colorful Robes	极亮彩外袍	極亮彩外袍	火氷雷風いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Fire, Ice, Bolt, or Air attribute.	给予火冰雷风其中任一属性角色的HP恢复量+{0}%。	對火冰雷風任一屬性角色賦予HP回復量+{0}%。
45	極彩色のローブ	Colorful Robes	极亮彩外袍	極亮彩外袍	火氷雷風いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Fire, Ice, Bolt, or Air attribute.	给予火冰雷风其中任一属性角色的HP恢复量+{0}%。	對火冰雷風任一屬性角色賦予HP回復量+{0}%。
46	エンゼルリボン	Angel Ribbon	天使缎带	天使緞帶	自身のHPが70%以上の時、受けるダメージ-{0}%	Reduces damage received by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，所受伤害-{0}%。	自身的HP在70%以上時，所受傷害-{0}%。
47	エンゼルリボン	Angel Ribbon	天使缎带	天使緞帶	自身のHPが70%以上の時、受けるダメージ-{0}%	Reduces damage received by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，所受伤害-{0}%。	自身的HP在70%以上時，所受傷害-{0}%。
48	精霊の杖・氷	Spirit Staff - Ice	精灵之杖·冰	精靈之杖‧冰	得意属性が氷属性の時、スキルダメージ+{0}%	While equipped to a character with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性时，技能伤害+{0}%。	自身屬性為冰屬性時，技能傷害+{0}%。
49	精霊の杖・氷	Spirit Staff - Ice	精灵之杖·冰	精靈之杖‧冰	得意属性が氷属性の時、スキルダメージ+{0}%	While equipped to a character with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性时，技能伤害+{0}%。	自身屬性為冰屬性時，技能傷害+{0}%。
50	コンバットシャツ	Combat Shirt	战斗衬衫	戰鬥襯衫	斬打突いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Slash, Strike, or Stab attribute.	给予斩打突其中任一属性角色的HP恢复量+{0}%。	對斬打突任一屬性角色賦予HP回復量+{0}%。
51	コンバットシャツ	Combat Shirt	战斗衬衫	戰鬥襯衫	斬打突いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Slash, Strike, or Stab attribute.	给予斩打突其中任一属性角色的HP恢复量+{0}%。	對斬打突任一屬性角色賦予HP回復量+{0}%。
52	グナーデリング・物	Gnade Ring - Phys	恩典戒指·物	恩典戒指‧物	自身のHPが70%以上の時、斬打突属性耐性+{0}%	Boosts Slash, Strike, and Stab Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，斩打突属性耐性+{0}%。	自身的HP在70%以上時，斬打突屬性耐性+{0}%。
53	グナーデリング・物	Gnade Ring - Phys	恩典戒指·物	恩典戒指‧物	自身のHPが70%以上の時、斬打突属性耐性+{0}%	Boosts Slash, Strike, and Stab Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，斩打突属性耐性+{0}%。	自身的HP在70%以上時，斬打突屬性耐性+{0}%。
54	精霊の杖・風	Spirit Staff - Air	精灵之杖·风	精靈之杖‧風	得意属性が風属性の時、スキルダメージ+{0}%	While equipped to a character with Air affinity, boosts skill damage by {0}%.	自身属性为风属性时，技能伤害+{0}%。	自身屬性為風屬性時，技能傷害+{0}%。
55	精霊の杖・風	Spirit Staff - Air	精灵之杖·风	精靈之杖‧風	得意属性が風属性の時、スキルダメージ+{0}%	While equipped to a character with Air affinity, boosts skill damage by {0}%.	自身属性为风属性时，技能伤害+{0}%。	自身屬性為風屬性時，技能傷害+{0}%。
56	冒険者の服	Adventurer's Clothing	冒险者的服装	冒險者的服裝	自身がサポーターの時、バーストスキルダメージ+{0}%	While equipped to a Supporter, boosts burst skill damage by {0}%.	自身为支援者时，爆发技能伤害+{0}%。	自身為支援者時，爆發技能傷害+{0}%。
57	冒険者の服	Adventurer's Clothing	冒险者的服装	冒險者的服裝	自身がサポーターの時、バーストスキルダメージ+{0}%	While equipped to a Supporter, boosts burst skill damage by {0}%.	自身为支援者时，爆发技能伤害+{0}%。	自身為支援者時，爆發技能傷害+{0}%。
58	グナーデリング・魔	Gnade Ring - Mag	恩典戒指·魔	恩典戒指‧魔	自身のHPが70%以上の時、火氷雷風属性耐性+{0}%	Boosts Fire, Ice, Bolt, and Air Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，火冰雷风属性耐性+{0}%。	自身的HP在70%以上時，火冰雷風屬性耐性+{0}%。
59	グナーデリング・魔	Gnade Ring - Mag	恩典戒指·魔	恩典戒指‧魔	自身のHPが70%以上の時、火氷雷風属性耐性+{0}%	Boosts Fire, Ice, Bolt, and Air Resistance by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，火冰雷风属性耐性+{0}%。	自身的HP在70%以上時，火冰雷風屬性耐性+{0}%。
60	精霊の杖・雷	Spirit Staff - Bolt	精灵之杖·雷	精靈之杖‧雷	得意属性が雷属性の時、スキルダメージ+{0}%	While equipped to a character with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性时，技能伤害+{0}%。	自身屬性為雷屬性時，技能傷害+{0}%。
61	精霊の杖・雷	Spirit Staff - Bolt	精灵之杖·雷	精靈之杖‧雷	得意属性が雷属性の時、スキルダメージ+{0}%	While equipped to a character with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性时，技能伤害+{0}%。	自身屬性為雷屬性時，技能傷害+{0}%。
62	無重力シャツ	Weightless Shirt	无重力衬衫	無重力襯衫	自身がディフェンダーの時、受けるHP回復量+{0}%	While equipped to a Defender, boosts HP recovery received by {0}%.	自身为防御者时，所受HP恢复量+{0}%。	自身為防禦者時，所受HP回復量+{0}%。
63	無重力シャツ	Weightless Shirt	无重力衬衫	無重力襯衫	自身がディフェンダーの時、受けるHP回復量+{0}%	While equipped to a Defender, boosts HP recovery received by {0}%.	自身为防御者时，所受HP恢复量+{0}%。	自身為防禦者時，所受HP回復量+{0}%。
64	クロニクルマーク・斬	Chronicle Mark - Slash	时光标记·斩	圖騰項鍊‧斬	得意属性が斬属性の時、受けるダメージ-{0}%	While equipped to a character with Slash affinity, reduces damage received by {0}%.	自身属性为斩击属性时，所受伤害-{0}%。	自身屬性為斬屬性時，所受傷害-{0}%。
65	クロニクルマーク・斬	Chronicle Mark - Slash	时光标记·斩	圖騰項鍊‧斬	得意属性が斬属性の時、受けるダメージ-{0}%	While equipped to a character with Slash affinity, reduces damage received by {0}%.	自身属性为斩击属性时，所受伤害-{0}%。	自身屬性為斬屬性時，所受傷害-{0}%。
66	クロニクルマーク・突	Chronicle Mark - Stab	时光标记·突	圖騰項鍊‧突	得意属性が突属性の時、受けるダメージ-{0}%	While equipped to a character with Stab affinity, reduces damage received by {0}%.	自身属性为突刺属性时，所受伤害-{0}%。	自身屬性為突屬性時，所受傷害-{0}%。
67	クロニクルマーク・突	Chronicle Mark - Stab	时光标记·突	圖騰項鍊‧突	得意属性が突属性の時、受けるダメージ-{0}%	While equipped to a character with Stab affinity, reduces damage received by {0}%.	自身属性为突刺属性时，所受伤害-{0}%。	自身屬性為突屬性時，所受傷害-{0}%。
68	クロニクルマーク・打	Chronicle Mark - Strike	时光标记·打	圖騰項鍊‧打	得意属性が打属性の時、受けるダメージ-{0}%	While equipped to a character with Strike affinity, reduces damage received by {0}%.	自身属性为打击属性时，所受伤害-{0}%。	自身屬性為打屬性時，所受傷害-{0}%。
69	クロニクルマーク・打	Chronicle Mark - Strike	时光标记·打	圖騰項鍊‧打	得意属性が打属性の時、受けるダメージ-{0}%	While equipped to a character with Strike affinity, reduces damage received by {0}%.	自身属性为打击属性时，所受伤害-{0}%。	自身屬性為打屬性時，所受傷害-{0}%。
70	火霊のリング	Fire Spirit Ring	火灵戒指	火靈戒指	得意属性が火属性の時、受けるダメージ-{0}%	While equipped to a character with Fire affinity, reduces damage received by {0}%.	自身属性为火属性时，所受伤害-{0}%。	自身屬性為火屬性時，所受傷害-{0}%。
71	火霊のリング	Fire Spirit Ring	火灵戒指	火靈戒指	得意属性が火属性の時、受けるダメージ-{0}%	While equipped to a character with Fire affinity, reduces damage received by {0}%.	自身属性为火属性时，所受伤害-{0}%。	自身屬性為火屬性時，所受傷害-{0}%。
72	暴風のリング	Gale Force Ring	暴风戒指	暴風戒指	得意属性が風属性の時、受けるダメージ-{0}%	While equipped to a character with Air affinity, reduces damage received by {0}%.	自身属性为风属性时，所受伤害-{0}%。	自身屬性為風屬性時，所受傷害-{0}%。
73	暴風のリング	Gale Force Ring	暴风戒指	暴風戒指	得意属性が風属性の時、受けるダメージ-{0}%	While equipped to a character with Air affinity, reduces damage received by {0}%.	自身属性为风属性时，所受伤害-{0}%。	自身屬性為風屬性時，所受傷害-{0}%。
74	氷幻のリング	Phantom Ice Ring	冰幻戒指	冰幻戒指	得意属性が氷属性の時、受けるダメージ-{0}%	While equipped to a character with Ice affinity, reduces damage received by {0}%.	自身属性为冰属性时，所受伤害-{0}%。	自身屬性為冰屬性時，所受傷害-{0}%。
75	氷幻のリング	Phantom Ice Ring	冰幻戒指	冰幻戒指	得意属性が氷属性の時、受けるダメージ-{0}%	While equipped to a character with Ice affinity, reduces damage received by {0}%.	自身属性为冰属性时，所受伤害-{0}%。	自身屬性為冰屬性時，所受傷害-{0}%。
76	雷帝のリング	King of Thunder Ring	雷帝戒指	雷帝戒指	得意属性が雷属性の時、受けるダメージ-{0}%	While equipped to a character with Bolt affinity, reduces damage received by {0}%.	自身属性为雷属性时，所受伤害-{0}%。	自身屬性為雷屬性時，所受傷害-{0}%。
77	雷帝のリング	King of Thunder Ring	雷帝戒指	雷帝戒指	得意属性が雷属性の時、受けるダメージ-{0}%	While equipped to a character with Bolt affinity, reduces damage received by {0}%.	自身属性为雷属性时，所受伤害-{0}%。	自身屬性為雷屬性時，所受傷害-{0}%。
78	守護者の大剣	Protector Sword	守护者大剑	守護者大劍	受けるダメージ-{0}%	Reduces damage received by {0}%.	所受伤害-{0}%。	所受傷害-{0}%。
79	守護者の大剣	Protector Sword	守护者大剑	守護者大劍	受けるダメージ-{0}%	Reduces damage received by {0}%.	所受伤害-{0}%。	所受傷害-{0}%。
80	おしゃれなほうき	Stylish Broom	时髦扫把	時髦掃把	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
81	おしゃれなほうき	Stylish Broom	时髦扫把	時髦掃把	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
82	薬草のシャツ	Herbal Shirt	药草衬衫	藥草襯衫	自身が攻撃を受けた時、最大HPの{0}%回復	When hit by an attack, restores {0}% of max HP.	自身受到攻击时，恢复HP上限的{0}%。	自身受到攻擊時，回復HP最大值{0}%。
83	薬草のシャツ	Herbal Shirt	药草衬衫	藥草襯衫	自身が攻撃を受けた時、最大HPの{0}%回復	When hit by an attack, restores {0}% of max HP.	自身受到攻击时，恢复HP上限的{0}%。	自身受到攻擊時，回復HP最大值{0}%。
84	スカラーコート	Skuller Coat	学者御用服	學者御用服	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
85	スカラーコート	Skuller Coat	学者御用服	學者御用服	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
86	レディアントプレート	Radiant Plate	光辉板甲	光輝板甲	与えるマイナス効果量+{0}%	Boosts potency of negative effects inflicted by {0}%.	给予的负面效果量+{0}%。	賦予減弱效果量+{0}%。
87	レディアントプレート	Radiant Plate	光辉板甲	光輝板甲	与えるマイナス効果量+{0}%	Boosts potency of negative effects inflicted by {0}%.	给予的负面效果量+{0}%。	賦予減弱效果量+{0}%。
88	プレートベスト	Plate Vest	铁甲背心	板甲背心	自身が味方全員回復時、HP回復量+{0}%	Boosts HP recovery amount by {0}% when restoring HP to all allies.	自身为我方全体恢复时，HP恢复量+{0}%。	自身為我方全體回復時，自身HP回復量+{0}%。
89	プレートベスト	Plate Vest	铁甲背心	板甲背心	自身が味方全員回復時、HP回復量+{0}%	Boosts HP recovery amount by {0}% when restoring HP to all allies.	自身为我方全体恢复时，HP恢复量+{0}%。	自身為我方全體回復時，自身HP回復量+{0}%。
90	クリングメーネ	Klinge Mähne	历神之剑	曆神之劍	得意属性が斬属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为攻击者时，技能伤害+{0}%。	自身屬性為斬屬性且為攻擊者時，技能傷害+{0}%。
91	クリングメーネ	Klinge Mähne	历神之剑	曆神之劍	得意属性が斬属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为攻击者时，技能伤害+{0}%。	自身屬性為斬屬性且為攻擊者時，技能傷害+{0}%。
92	ヤマネコの槍	Madcat Spear	山猫长枪	山貓之槍	得意属性が突属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为攻击者时，技能伤害+{0}%。	自身屬性為突屬性且為攻擊者時，技能傷害+{0}%。
93	ヤマネコの槍	Madcat Spear	山猫长枪	山貓之槍	得意属性が突属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为攻击者时，技能伤害+{0}%。	自身屬性為突屬性且為攻擊者時，技能傷害+{0}%。
94	エレメントブレス・火	Elemental Breath - Fire	元素吐息·火	元素吐息‧火	得意属性が火属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为攻击者时，技能伤害+{0}%。	自身屬性為火屬性且為攻擊者時，技能傷害+{0}%。
95	エレメントブレス・火	Elemental Breath - Fire	元素吐息·火	元素吐息‧火	得意属性が火属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为攻击者时，技能伤害+{0}%。	自身屬性為火屬性且為攻擊者時，技能傷害+{0}%。
96	エレメントブレス・氷	Elemental Breath - Ice	元素吐息·冰	元素吐息‧冰	得意属性が氷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为攻击者时，技能伤害+{0}%。	自身屬性為冰屬性且為攻擊者時，技能傷害+{0}%。
97	エレメントブレス・氷	Elemental Breath - Ice	元素吐息·冰	元素吐息‧冰	得意属性が氷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为攻击者时，技能伤害+{0}%。	自身屬性為冰屬性且為攻擊者時，技能傷害+{0}%。
98	エレメントブレス・雷	Elemental Breath - Bolt	元素吐息·雷	元素吐息‧雷	得意属性が雷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性且身为攻击者时，技能伤害+{0}%。	自身屬性為雷屬性且為攻擊者時，技能傷害+{0}%。
99	エレメントブレス・雷	Elemental Breath - Bolt	元素吐息·雷	元素吐息‧雷	得意属性が雷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Bolt affinity, boosts skill damage by {0}%.	自身属性为雷属性且身为攻击者时，技能伤害+{0}%。	自身屬性為雷屬性且為攻擊者時，技能傷害+{0}%。
100	コロッサルエッジ	Colossal Edge	无双	巨型劍鋒	得意属性が斬属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为破坏者时，技能伤害+{0}%。	自身屬性為斬屬性且為破壞者時，技能傷害+{0}%。
101	コロッサルエッジ	Colossal Edge	无双	巨型劍鋒	得意属性が斬属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性且身为破坏者时，技能伤害+{0}%。	自身屬性為斬屬性且為破壞者時，技能傷害+{0}%。
102	白翼の槍	White Wing Spear	白翼长枪	白翼之槍	得意属性が突属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为破坏者时，技能伤害+{0}%。	自身屬性為突屬性且為破壞者時，技能傷害+{0}%。
103	白翼の槍	White Wing Spear	白翼长枪	白翼之槍	得意属性が突属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性且身为破坏者时，技能伤害+{0}%。	自身屬性為突屬性且為破壞者時，技能傷害+{0}%。
104	ワンダーミステル・火	Mystical Wonder - Fire	惊奇手杖·火	驚奇手杖‧火	得意属性が火属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为破坏者时，技能伤害+{0}%。	自身屬性為火屬性且為破壞者時，技能傷害+{0}%。
105	ワンダーミステル・火	Mystical Wonder - Fire	惊奇手杖·火	驚奇手杖‧火	得意属性が火属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性且身为破坏者时，技能伤害+{0}%。	自身屬性為火屬性且為破壞者時，技能傷害+{0}%。
106	ワンダーミステル・風	Mystical Wonder - Air	惊奇手杖·风	驚奇手杖‧風	得意属性が風属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Air affinity, boosts skill damage by {0}%.	自身属性为风属性且身为破坏者时，技能伤害+{0}%。	自身屬性為風屬性且為破壞者時，技能傷害+{0}%。
107	ワンダーミステル・風	Mystical Wonder - Air	惊奇手杖·风	驚奇手杖‧風	得意属性が風属性かつブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker with Air affinity, boosts skill damage by {0}%.	自身属性为风属性且身为破坏者时，技能伤害+{0}%。	自身屬性為風屬性且為破壞者時，技能傷害+{0}%。
